,Prediction,value_count,NCTId
12720,Terminated,1,NCT00924664
12721,Completed,1,NCT00924703
12722,Completed,1,NCT00924807
12723,Terminated,1,NCT00924820
12724,Terminated,1,NCT00925054
12725,Completed,1,NCT00925132
12726,Completed,1,NCT00925314
12727,Completed,1,NCT00925327
12728,Completed,1,NCT00925431
12729,Completed,1,NCT00925652
12730,Completed,1,NCT00925782
12731,Completed,1,NCT00925938
12732,Completed,1,NCT00925990
12733,Completed,1,NCT00926068
12734,Completed,1,NCT00926120
12735,Completed,1,NCT00926185
12736,Completed,1,NCT00926380
12737,Completed,1,NCT00927563
12738,Completed,1,NCT00927758
12739,Completed,1,NCT00927784
12740,Completed,1,NCT00927810
12741,Completed,1,NCT00927862
12742,Completed,1,NCT00927914
12743,Completed,1,NCT00928135
12744,Completed,1,NCT00928174
12745,Completed,1,NCT00928252
12746,Completed,1,NCT00928304
12747,Completed,1,NCT00928317
12748,Completed,1,NCT00928421
12749,Completed,1,NCT00928447
12750,Completed,1,NCT00928512
12751,Completed,1,NCT00928642
12752,Terminated,1,NCT00928811
12753,Completed,1,NCT00929123
12754,Completed,1,NCT00929188
12755,Completed,1,NCT00929214
12756,Completed,1,NCT00929344
12757,Completed,1,NCT00929539
12758,Completed,1,NCT00929578
12759,Terminated,1,NCT00929669
12760,Completed,1,NCT00929968
12761,Completed,1,NCT00930059
12762,Completed,1,NCT00930072
12763,Terminated,1,NCT00930527
12764,Terminated,1,NCT00930579
12765,Terminated,1,NCT00930930
12766,Completed,1,NCT00930982
12767,Completed,1,NCT00930995
12768,Completed,1,NCT00931164
12769,Completed,1,NCT00931242
12770,Completed,1,NCT00931489
12771,Completed,1,NCT00931606
12772,Completed,1,NCT00931762
12773,Completed,1,NCT00931840
12774,Completed,1,NCT00931918
12775,Terminated,1,NCT00931944
12776,Completed,1,NCT00932035
12777,Completed,1,NCT00932074
12778,Completed,1,NCT00932100
12779,Terminated,1,NCT00932152
12780,Completed,1,NCT00932191
12781,Completed,1,NCT00932282
12782,Completed,1,NCT00932295
12783,Completed,1,NCT00932438
12784,Completed,1,NCT00932451
12785,Completed,1,NCT00932672
12786,Completed,1,NCT00932737
12787,Completed,1,NCT00932828
12788,Completed,1,NCT00933543
12789,Completed,1,NCT00933556
12790,Completed,1,NCT00933868
12791,Completed,1,NCT00933959
12792,Completed,1,NCT00934050
12793,Completed,1,NCT00934089
12794,Completed,1,NCT00934128
12795,Completed,1,NCT00934284
12796,Completed,1,NCT00934362
12797,Completed,1,NCT00934414
