,Prediction,value_count,NCTId
3721,Completed,1,NCT02971748
3722,Terminated,1,NCT02971761
3723,Terminated,1,NCT02971956
3724,Terminated,1,NCT02972424
3725,Completed,1,NCT02973360
3726,Completed,1,NCT02973893
3727,Completed,1,NCT02973997
3728,Completed,1,NCT02974257
3729,Completed,1,NCT02974621
3730,Completed,1,NCT02974647
3731,Completed,1,NCT02975297
3732,Completed,1,NCT02976012
3733,Completed,1,NCT02976129
3734,Completed,1,NCT02977403
3735,Terminated,1,NCT02977780
3736,Completed,1,NCT02978144
3737,Terminated,1,NCT02978443
3738,Completed,1,NCT02978625
3739,Completed,1,NCT02978716
3740,Terminated,1,NCT02978859
3741,Completed,1,NCT02978885
3742,Completed,1,NCT02979093
3743,Completed,1,NCT02979522
3744,Completed,1,NCT02979873
3745,Terminated,1,NCT02979977
3746,Completed,1,NCT02980341
3747,Terminated,1,NCT02981108
3748,Completed,1,NCT02981303
3749,Completed,1,NCT02981472
3750,Completed,1,NCT02981628
3751,Completed,1,NCT02981940
3752,Completed,1,NCT02982915
3753,Completed,1,NCT02983045
3754,Terminated,1,NCT02983578
3755,Terminated,1,NCT02983734
3756,Completed,1,NCT02983773
3757,Completed,1,NCT02983799
3758,Completed,1,NCT02984124
3759,Completed,1,NCT02985021
3760,Terminated,1,NCT02985125
3761,Completed,1,NCT02985255
3762,Completed,1,NCT02985801
3763,Completed,1,NCT02985957
3764,Completed,1,NCT02986178
3765,Completed,1,NCT02987829
3766,Completed,1,NCT02987855
3767,Terminated,1,NCT02987959
3768,Completed,1,NCT02988401
3769,Completed,1,NCT02988466
3770,Completed,1,NCT02988817
3771,Completed,1,NCT02989025
3772,Completed,1,NCT02989584
3773,Completed,1,NCT02989714
3774,Terminated,1,NCT02989844
3775,Completed,1,NCT02990091
3776,Completed,1,NCT02990143
3777,Completed,1,NCT02990416
3778,Completed,1,NCT02990468
3779,Completed,1,NCT02990819
3780,Completed,1,NCT02991144
3781,Completed,1,NCT02991456
3782,Completed,1,NCT02991807
3783,Completed,1,NCT02992743
3784,Completed,1,NCT02992964
3785,Terminated,1,NCT02993159
3786,Completed,1,NCT02993198
3787,Terminated,1,NCT02994069
3788,Terminated,1,NCT02994784
3789,Terminated,1,NCT02995642
3790,Completed,1,NCT02996110
3791,Completed,1,NCT02996773
3792,Completed,1,NCT02997657
3793,Terminated,1,NCT02997761
3794,Completed,1,NCT02998151
3795,Terminated,1,NCT02998268
3796,Completed,1,NCT02998476
3797,Completed,1,NCT02998918
3798,Completed,1,NCT03000179
3799,Completed,1,NCT03000374
3800,Terminated,1,NCT03001882
3801,Completed,1,NCT03002311
3802,Completed,1,NCT03002389
3803,Terminated,1,NCT03003468
3804,Completed,1,NCT03003520
3805,Completed,1,NCT03003533
3806,Completed,1,NCT03003949
3807,Completed,1,NCT03004183
3808,Completed,1,NCT03004287
3809,Terminated,1,NCT03004976
3810,Completed,1,NCT03005327
3811,Completed,1,NCT03005379
3812,Completed,1,NCT03005418
3813,Terminated,1,NCT03006302
3814,Completed,1,NCT03006848
3815,Terminated,1,NCT03007030
3816,Completed,1,NCT03007238
3817,Terminated,1,NCT03007732
3818,Terminated,1,NCT03007979
3819,Completed,1,NCT03008187
3820,Completed,1,NCT03008278
3821,Terminated,1,NCT03008369
3822,Completed,1,NCT03008408
3823,Completed,1,NCT03008915
3824,Completed,1,NCT03009045
3825,Terminated,1,NCT03010358
3826,Completed,1,NCT03010436
3827,Completed,1,NCT03011034
3828,Terminated,1,NCT03011307
3829,Completed,1,NCT03011372
3830,Terminated,1,NCT03011814
3831,Terminated,1,NCT03012100
3832,Completed,1,NCT03012321
3833,Completed,1,NCT03012386
3834,Terminated,1,NCT03012477
3835,Completed,1,NCT03012672
3836,Terminated,1,NCT03012880
3837,Completed,1,NCT03013491
3838,Completed,1,NCT03013543
3839,Completed,1,NCT03013998
3840,Terminated,1,NCT03014648
3841,Completed,1,NCT03015129
3842,Completed,1,NCT03015402
3843,Completed,1,NCT03015623
3844,Terminated,1,NCT03015740
3845,Terminated,1,NCT03015896
3846,Completed,1,NCT03016377
3847,Completed,1,NCT03016871
3848,Completed,1,NCT03017508
3849,Terminated,1,NCT03018080
3850,Completed,1,NCT03018288
3851,Completed,1,NCT03018366
3852,Completed,1,NCT03018405
3853,Completed,1,NCT03018418
3854,Terminated,1,NCT03019003
3855,Terminated,1,NCT03019029
3856,Completed,1,NCT03019185
3857,Completed,1,NCT03019406
3858,Completed,1,NCT03019640
3859,Terminated,1,NCT03021460
3860,Completed,1,NCT03021486
