NCTId,0,Active Comparator,Experimental,No Intervention,Other,Placebo Comparator,Sham Comparator
NCT00000910,1,0,0,0,0,0,0
NCT00000911,1,0,0,0,0,0,0
NCT00000912,1,0,0,0,0,0,0
NCT00000913,1,0,0,0,0,0,0
NCT00000914,1,0,0,0,0,0,0
NCT00000915,1,0,0,0,0,0,0
NCT00000916,1,0,0,0,0,0,0
NCT00000917,1,0,0,0,0,0,0
NCT00000918,1,0,0,0,0,0,0
NCT00000919,1,0,0,0,0,0,0
NCT00000920,1,0,0,0,0,0,0
NCT00000921,1,0,0,0,0,0,0
NCT00000922,1,0,0,0,0,0,0
NCT00000923,1,0,0,0,0,0,0
NCT00000924,1,0,0,0,0,0,0
NCT00000925,1,0,0,0,0,0,0
NCT00000926,1,0,0,0,0,0,0
NCT00000927,1,0,0,0,0,0,0
NCT00000929,1,0,0,0,0,0,0
NCT00000930,1,0,0,0,0,0,0
NCT00000931,1,0,0,0,0,0,0
NCT00000932,1,0,0,0,0,0,0
NCT00000933,1,0,0,0,0,0,0
NCT00000935,0,0,1,0,0,1,0
NCT00000936,0,1,1,0,0,0,0
NCT00000937,1,0,0,0,0,0,0
NCT00000938,1,0,0,0,0,0,0
NCT00000939,1,0,0,0,0,0,0
NCT00000940,1,0,0,0,0,0,0
NCT00000941,1,0,0,0,0,0,0
NCT00000943,1,0,0,0,0,0,0
NCT00000944,1,0,0,0,0,0,0
NCT00000945,1,0,0,0,0,0,0
NCT00000946,1,0,0,0,0,0,0
NCT00000947,1,0,0,0,0,0,0
NCT00000949,1,0,0,0,0,0,0
NCT00000950,1,0,0,0,0,0,0
NCT00000951,1,0,0,0,0,0,0
NCT00000952,1,0,0,0,0,0,0
NCT00000953,1,0,0,0,0,0,0
NCT00000954,1,0,0,0,0,0,0
NCT00000955,0,0,0,0,1,0,0
NCT00000956,1,0,0,0,0,0,0
NCT00000957,1,0,0,0,0,0,0
NCT00000958,1,0,0,0,0,0,0
NCT00000959,1,0,0,0,0,0,0
NCT00000960,1,0,0,0,0,0,0
NCT00000962,1,0,0,0,0,0,0
NCT00000963,1,0,0,0,0,0,0
NCT00000964,1,0,0,0,0,0,0
NCT00000965,1,0,0,0,0,0,0
NCT00000966,1,0,0,0,0,0,0
NCT00000967,1,0,0,0,0,0,0
NCT00000968,1,0,0,0,0,0,0
NCT00000969,1,0,0,0,0,0,0
NCT00000970,1,0,0,0,0,0,0
NCT00000971,1,0,0,0,0,0,0
NCT00000972,1,0,0,0,0,0,0
NCT00000973,1,0,0,0,0,0,0
NCT00000974,1,0,0,0,0,0,0
NCT00000975,1,0,0,0,0,0,0
NCT00000976,1,0,0,0,0,0,0
NCT00000977,1,0,0,0,0,0,0
NCT00000978,1,0,0,0,0,0,0
NCT00000979,1,0,0,0,0,0,0
NCT00000980,1,0,0,0,0,0,0
NCT00000981,1,0,0,0,0,0,0
NCT00000982,1,0,0,0,0,0,0
NCT00000983,1,0,0,0,0,0,0
NCT00000984,1,0,0,0,0,0,0
NCT00000985,1,0,0,0,0,0,0
NCT00000986,1,0,0,0,0,0,0
NCT00000987,1,0,0,0,0,0,0
NCT00000988,1,0,0,0,0,0,0
NCT00000989,1,0,0,0,0,0,0
NCT00000990,1,0,0,0,0,0,0
NCT00000991,1,0,0,0,0,0,0
NCT00000992,1,0,0,0,0,0,0
NCT00000993,1,0,0,0,0,0,0
NCT00000994,1,0,0,0,0,0,0
NCT00000995,1,0,0,0,0,0,0
NCT00000996,1,0,0,0,0,0,0
NCT00000997,1,0,0,0,0,0,0
NCT00000998,1,0,0,0,0,0,0
NCT00000999,1,0,0,0,0,0,0
