,NCTId,0-50,51-100,101-200,201-500,501-1000,1001-10000,10000plus
165,NCT04584788,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,NCT04584099,1.0,0.0,0.0,0.0,0.0,0.0,0.0
167,NCT04577898,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,NCT04577456,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,NCT04569253,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,NCT04567186,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171,NCT04562532,1.0,0.0,0.0,0.0,0.0,0.0,0.0
172,NCT04558970,1.0,0.0,0.0,0.0,0.0,0.0,0.0
173,NCT04558632,1.0,0.0,0.0,0.0,0.0,0.0,0.0
174,NCT04558047,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,NCT04557917,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176,NCT04557891,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,NCT04556968,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,NCT04556474,1.0,0.0,0.0,0.0,0.0,0.0,0.0
179,NCT04547920,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,NCT04547712,1.0,0.0,0.0,0.0,0.0,0.0,0.0
181,NCT04544670,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,NCT04542525,1.0,0.0,0.0,0.0,0.0,0.0,0.0
183,NCT04540913,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,NCT04537013,1.0,0.0,0.0,0.0,0.0,0.0,0.0
185,NCT04536168,1.0,0.0,0.0,0.0,0.0,0.0,0.0
186,NCT04534764,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,NCT04532099,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,NCT04529616,1.0,0.0,0.0,0.0,0.0,0.0,0.0
189,NCT04529109,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,NCT04524247,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,NCT04523545,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,NCT04513574,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193,NCT04510857,1.0,0.0,0.0,0.0,0.0,0.0,0.0
194,NCT04508335,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,NCT04502758,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,NCT04501146,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,NCT04500821,1.0,0.0,0.0,0.0,0.0,0.0,0.0
198,NCT04499521,1.0,0.0,0.0,0.0,0.0,0.0,0.0
199,NCT04496752,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,NCT04493021,1.0,0.0,0.0,0.0,0.0,0.0,0.0
201,NCT04488666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202,NCT04483791,1.0,0.0,0.0,0.0,0.0,0.0,0.0
203,NCT04476784,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204,NCT04474054,1.0,0.0,0.0,0.0,0.0,0.0,0.0
