NCTId,tb27_0,tb27_NonProbabilitySample,tb27_ProbabilitySample
NCT00000789,1,0,0
NCT00000790,1,0,0
NCT00000791,1,0,0
NCT00000792,1,0,0
NCT00000793,1,0,0
NCT00000794,1,0,0
NCT00000795,1,0,0
NCT00000796,1,0,0
NCT00000797,0,0,1
NCT00000798,1,0,0
NCT00000799,1,0,0
NCT00000800,1,0,0
NCT00000801,1,0,0
NCT00000802,1,0,0
NCT00000803,1,0,0
NCT00000805,1,0,0
NCT00000806,1,0,0
NCT00000807,1,0,0
NCT00000808,1,0,0
NCT00000810,1,0,0
NCT00000811,1,0,0
NCT00000812,1,0,0
NCT00000813,1,0,0
NCT00000814,1,0,0
NCT00000815,1,0,0
NCT00000816,1,0,0
NCT00000817,1,0,0
NCT00000818,1,0,0
NCT00000819,1,0,0
NCT00000820,1,0,0
NCT00000821,1,0,0
NCT00000822,1,0,0
NCT00000823,1,0,0
NCT00000824,1,0,0
NCT00000825,1,0,0
NCT00000826,1,0,0
NCT00000827,1,0,0
NCT00000828,1,0,0
NCT00000829,1,0,0
NCT00000830,1,0,0
NCT00000831,1,0,0
NCT00000832,1,0,0
NCT00000833,1,0,0
NCT00000834,1,0,0
NCT00000836,1,0,0
NCT00000837,1,0,0
NCT00000838,1,0,0
NCT00000839,1,0,0
NCT00000840,1,0,0
NCT00000841,1,0,0
NCT00000842,1,0,0
NCT00000843,1,0,0
NCT00000844,1,0,0
NCT00000845,1,0,0
NCT00000846,1,0,0
NCT00000847,1,0,0
NCT00000848,1,0,0
NCT00000849,1,0,0
NCT00000850,1,0,0
NCT00000851,1,0,0
NCT00000852,1,0,0
NCT00000853,1,0,0
NCT00000854,1,0,0
NCT00000855,1,0,0
NCT00000857,1,0,0
NCT00000858,1,0,0
NCT00000859,1,0,0
NCT00000860,1,0,0
NCT00000861,1,0,0
NCT00000862,1,0,0
NCT00000863,1,0,0
NCT00000864,1,0,0
NCT00000865,1,0,0
NCT00000866,1,0,0
NCT00000867,1,0,0
NCT00000868,1,0,0
NCT00000869,1,0,0
NCT00000870,1,0,0
NCT00000871,1,0,0
NCT00000872,1,0,0
NCT00000873,1,0,0
NCT00000874,0,1,0
NCT00000875,1,0,0
NCT00000876,1,0,0
NCT00000877,1,0,0
NCT00000878,1,0,0
NCT00000879,1,0,0
NCT00000880,1,0,0
NCT00000882,1,0,0
NCT00000883,1,0,0
NCT00000884,1,0,0
NCT00000885,1,0,0
NCT00000886,1,0,0
NCT00000887,1,0,0
NCT00000888,1,0,0
NCT00000890,1,0,0
NCT00000891,1,0,0
NCT00000892,1,0,0
NCT00000893,1,0,0
NCT00000894,1,0,0
NCT00000895,1,0,0
NCT00000896,1,0,0
NCT00000897,1,0,0
NCT00000898,1,0,0
NCT00000899,1,0,0
NCT00000900,1,0,0
NCT00000901,1,0,0
NCT00000902,1,0,0
NCT00000903,1,0,0
NCT00000904,1,0,0
NCT00000905,1,0,0
NCT00000906,1,0,0
NCT00000907,1,0,0
NCT00000908,1,0,0
NCT00000910,1,0,0
NCT00000911,0,1,0
NCT00000912,1,0,0
NCT00000913,1,0,0
NCT00000914,1,0,0
NCT00000915,1,0,0
NCT00000916,1,0,0
NCT00000917,1,0,0
NCT00000918,1,0,0
NCT00000919,1,0,0
NCT00000920,1,0,0
NCT00000921,1,0,0
NCT00000922,1,0,0
NCT00000923,1,0,0
NCT00000924,1,0,0
NCT00000925,1,0,0
NCT00000926,1,0,0
NCT00000927,1,0,0
NCT00000929,1,0,0
NCT00000930,0,1,0
NCT00000931,1,0,0
NCT00000932,0,0,1
NCT00000933,1,0,0
NCT00000935,1,0,0
NCT00000936,1,0,0
NCT00000937,1,0,0
NCT00000938,1,0,0
NCT00000939,1,0,0
NCT00000940,1,0,0
NCT00000941,1,0,0
NCT00000943,1,0,0
NCT00000944,1,0,0
NCT00000945,1,0,0
NCT00000946,1,0,0
NCT00000947,1,0,0
NCT00000949,1,0,0
NCT00000950,1,0,0
NCT00000951,1,0,0
NCT00000952,1,0,0
NCT00000953,1,0,0
NCT00000954,1,0,0
NCT00000955,1,0,0
NCT00000956,1,0,0
NCT00000957,1,0,0
NCT00000958,1,0,0
NCT00000959,1,0,0
NCT00000960,1,0,0
NCT00000962,1,0,0
NCT00000963,1,0,0
NCT00000964,1,0,0
NCT00000965,1,0,0
NCT00000966,1,0,0
NCT00000967,1,0,0
NCT00000968,1,0,0
NCT00000969,1,0,0
NCT00000970,1,0,0
NCT00000971,1,0,0
NCT00000972,1,0,0
NCT00000973,1,0,0
NCT00000974,1,0,0
NCT00000975,1,0,0
NCT00000976,1,0,0
NCT00000977,1,0,0
NCT00000978,1,0,0
NCT00000979,1,0,0
NCT00000980,1,0,0
NCT00000981,1,0,0
NCT00000982,1,0,0
NCT00000983,1,0,0
NCT00000984,1,0,0
NCT00000985,1,0,0
NCT00000986,1,0,0
NCT00000987,1,0,0
NCT00000988,1,0,0
NCT00000989,1,0,0
NCT00000990,1,0,0
NCT00000991,1,0,0
NCT00000992,1,0,0
NCT00000993,1,0,0
