,NCTId,CollaboratorClass
9418,NCT04221607,UNKNOWN
4234,NCT03521817,UNKNOWN
1595,NCT03820414,UNKNOWN
1173,NCT04542915,UNKNOWN
7429,NCT03207152,UNKNOWN
4712,NCT03259178,UNKNOWN
7430,NCT02630225,UNKNOWN
4712,NCT03259178,UNKNOWN
3112,NCT02366286,UNKNOWN
5514,NCT03152760,UNKNOWN
7430,NCT02630225,UNKNOWN
7732,NCT03158558,UNKNOWN
6442,NCT01744899,UNKNOWN
5397,NCT02475850,UNKNOWN
1598,NCT01378780,UNKNOWN
3364,NCT01864057,UNKNOWN
1175,NCT02891421,UNKNOWN
6469,NCT02381054,UNKNOWN
9432,NCT04210180,UNKNOWN
6469,NCT02381054,UNKNOWN
7621,NCT02114229,UNKNOWN
3427,NCT02833922,UNKNOWN
4212,NCT03004157,UNKNOWN
4212,NCT03004157,UNKNOWN
6487,NCT03381885,UNKNOWN
4212,NCT03004157,UNKNOWN
4212,NCT03004157,UNKNOWN
4212,NCT03004157,UNKNOWN
9457,NCT04186793,UNKNOWN
5867,NCT04227405,UNKNOWN
9455,NCT04188197,UNKNOWN
1800,NCT01436240,UNKNOWN
1800,NCT01436240,UNKNOWN
3090,NCT04148118,UNKNOWN
4219,NCT02572323,UNKNOWN
7625,NCT02171312,UNKNOWN
9176,NCT04427202,UNKNOWN
9447,NCT04196374,UNKNOWN
9447,NCT04196374,UNKNOWN
3094,NCT03207880,UNKNOWN
2517,NCT02868021,UNKNOWN
8243,NCT04420988,UNKNOWN
1790,NCT03131544,UNKNOWN
4466,NCT04395781,UNKNOWN
1589,NCT02877147,UNKNOWN
5521,NCT03175536,UNKNOWN
3395,NCT03643783,UNKNOWN
6469,NCT02381054,UNKNOWN
9402,NCT04233112,UNKNOWN
4714,NCT00850824,UNKNOWN
5928,NCT01672541,UNKNOWN
6405,NCT01083654,UNKNOWN
4836,NCT04169867,UNKNOWN
3318,NCT03490045,UNKNOWN
3318,NCT03490045,UNKNOWN
8286,NCT03817931,UNKNOWN
