,NCTId,LeadSponsorClass
7579,NCT03842111,OTHER
5007,NCT03020758,OTHER
4779,NCT02751203,OTHER
4852,NCT03277846,OTHER
7606,NCT04049305,OTHER
4861,NCT03083431,OTHER
7607,NCT02435264,OTHER
4859,NCT01761734,OTHER
4858,NCT01457976,OTHER
4857,NCT01914185,OTHER
4856,NCT04007419,OTHER
4855,NCT04159454,OTHER
4854,NCT00129701,OTHER
4853,NCT04525326,OTHER
4851,NCT04557345,OTHER
7608,NCT00263341,OTHER
4850,NCT02095249,OTHER
4849,NCT01016860,OTHER
4848,NCT03658954,OTHER
4847,NCT01859039,OTHER
4846,NCT00603174,OTHER
4845,NCT02369887,OTHER
4844,NCT02811666,OTHER
4843,NCT01581307,OTHER
4842,NCT01155843,OTHER
4841,NCT04297228,OTHER
4863,NCT04095910,OTHER
4864,NCT01109810,OTHER
4865,NCT01412918,OTHER
4866,NCT04048707,OTHER
4891,NCT04036032,OTHER
7601,NCT02420353,OTHER
4889,NCT00734357,OTHER
4888,NCT01633177,OTHER
4887,NCT01053299,OTHER
4884,NCT04517006,OTHER
4883,NCT01499706,OTHER
4882,NCT03143049,OTHER
4881,NCT03308903,OTHER
4880,NCT01113502,OTHER
4879,NCT02111512,OTHER
4878,NCT04113811,OTHER
4877,NCT03540745,OTHER
4876,NCT01829269,OTHER
7605,NCT04037852,OTHER
4872,NCT00739024,OTHER
4871,NCT02676024,OTHER
4870,NCT02777112,OTHER
4869,NCT03214757,OTHER
4868,NCT03800394,OTHER
4867,NCT03975400,OTHER
4840,NCT03940209,OTHER
7609,NCT03894241,OTHER
4893,NCT02609308,OTHER
4793,NCT00561054,OTHER
4804,NCT01090583,OTHER
4803,NCT01712282,OTHER
4802,NCT01560520,OTHER
4801,NCT02350231,OTHER
4800,NCT00131586,OTHER
4799,NCT04414371,OTHER
4798,NCT03953794,OTHER
4797,NCT01896414,OTHER
4796,NCT02692092,OTHER
4795,NCT02613767,OTHER
4350,NCT02702479,OTHER
4835,NCT00535444,OTHER
4791,NCT04335331,OTHER
4790,NCT03971318,OTHER
4789,NCT02856217,OTHER
4788,NCT04334824,OTHER
4787,NCT00858403,OTHER
4786,NCT02023151,OTHER
4784,NCT01594190,OTHER
4783,NCT01054833,OTHER
4781,NCT03578939,OTHER
4780,NCT02278237,OTHER
4805,NCT03845985,OTHER
4806,NCT03065647,OTHER
4808,NCT00279617,OTHER
4809,NCT02268331,OTHER
4834,NCT01881828,OTHER
4833,NCT00536445,OTHER
4832,NCT02859831,OTHER
4831,NCT02599454,OTHER
4829,NCT02698371,OTHER
4828,NCT01373840,OTHER
4827,NCT03040791,OTHER
4826,NCT01963169,OTHER
7611,NCT04599296,OTHER
4824,NCT03290963,OTHER
7613,NCT03464409,OTHER
7614,NCT01851629,OTHER
4820,NCT04442867,OTHER
4819,NCT01033188,OTHER
4817,NCT03086395,OTHER
4816,NCT03794882,OTHER
4815,NCT01068522,OTHER
4813,NCT01524042,OTHER
4812,NCT03656679,OTHER
4811,NCT04294342,OTHER
7615,NCT01360736,OTHER
4892,NCT01625910,OTHER
4894,NCT02017756,OTHER
5006,NCT02383303,OTHER
4964,NCT00672204,OTHER
4978,NCT02590198,OTHER
4977,NCT01270113,OTHER
4976,NCT01972048,OTHER
4975,NCT01929564,OTHER
7586,NCT03077919,OTHER
7587,NCT02755636,OTHER
4970,NCT03102086,OTHER
4968,NCT02332993,OTHER
4966,NCT02091323,OTHER
4965,NCT04424823,OTHER
