,NCTId,StudyType
7489,NCT02725255,Interventional
7485,NCT03397420,Interventional
7464,NCT01976780,Interventional
7473,NCT00446979,Interventional
7465,NCT01212029,Interventional
7467,NCT04116463,Interventional
7468,NCT03964792,Interventional
7469,NCT02380313,Interventional
7470,NCT00902798,Interventional
7472,NCT03412136,Interventional
7474,NCT01175707,Interventional
7482,NCT03585361,Interventional
7475,NCT01304407,Interventional
7476,NCT03432325,Interventional
7478,NCT00722280,Interventional
7479,NCT02169882,Interventional
7480,NCT02591420,Interventional
7481,NCT03822611,Interventional
7424,NCT01768650,Interventional
7423,NCT03276572,Interventional
7422,NCT02629068,Interventional
7364,NCT04063592,Interventional
7356,NCT01670877,Interventional
7357,NCT00096720,Interventional
7358,NCT01996254,Interventional
7359,NCT02008877,Interventional
7362,NCT02237196,Interventional
7363,NCT03447860,Interventional
7365,NCT02289287,Interventional
7354,NCT00788398,Interventional
7368,NCT00042510,Interventional
7369,NCT01967680,Interventional
7370,NCT02123251,Interventional
7371,NCT03882515,Interventional
7372,NCT03952182,Interventional
7373,NCT01170546,Interventional
7355,NCT03386539,Interventional
7353,NCT03385304,Interventional
7375,NCT01049516,Interventional
7343,NCT01130987,Interventional
7336,NCT01459107,Interventional
7337,NCT00947596,Interventional
7339,NCT02678247,Interventional
7340,NCT02668276,Interventional
7341,NCT01996826,Interventional
7342,NCT01866735,Interventional
7344,NCT02243774,Interventional
7352,NCT03065101,Interventional
7346,NCT03492021,Interventional
7347,NCT02877680,Interventional
7348,NCT02689713,Interventional
7349,NCT00639795,Interventional
7350,NCT00595491,Interventional
7351,NCT03138564,Interventional
7374,NCT04372797,Interventional
7376,NCT00756600,Interventional
7420,NCT00201006,Interventional
7409,NCT03168776,Interventional
7400,NCT03395028,Interventional
7401,NCT01670708,Interventional
7402,NCT00795821,Interventional
7404,NCT01399099,Interventional
7406,NCT01416948,Interventional
7408,NCT03329404,Interventional
7410,NCT02595034,Interventional
7396,NCT01158976,Interventional
7412,NCT00615940,Interventional
7413,NCT04060017,Interventional
7414,NCT02374060,Interventional
7415,NCT00350714,Interventional
7417,NCT01426555,Interventional
7419,NCT03713970,Interventional
7398,NCT01725152,Interventional
7395,NCT03758846,Interventional
7377,NCT02975596,Interventional
7384,NCT00865553,Interventional
7378,NCT02907697,Interventional
7379,NCT02504931,Interventional
7380,NCT03521154,Interventional
7381,NCT00751946,Interventional
7382,NCT00970944,Interventional
7383,NCT01253915,Interventional
7385,NCT00048932,Interventional
7394,NCT01121406,Interventional
7387,NCT01312922,Interventional
7389,NCT00130312,Interventional
7390,NCT00130208,Interventional
7391,NCT04094298,Interventional
7392,NCT01611350,Interventional
7393,NCT00737893,Interventional
7510,NCT03431558,Interventional
7512,NCT02271737,Interventional
7682,NCT00732173,Interventional
7513,NCT01924546,Interventional
7619,NCT01339689,Interventional
7620,NCT02990793,Interventional
7621,NCT02114229,Interventional
7622,NCT02202031,Interventional
7623,NCT01903889,Interventional
7624,NCT02756689,Interventional
7627,NCT04242160,Interventional
7628,NCT03527641,Interventional
7629,NCT03193398,Interventional
7630,NCT03432715,Interventional
7631,NCT00622401,Interventional
7632,NCT03156010,Interventional
7633,NCT03580538,Interventional
7634,NCT00198796,Interventional
7635,NCT02096653,Interventional
7618,NCT03005418,Interventional
7617,NCT00140140,Interventional
7616,NCT04075513,Interventional
7607,NCT02435264,Interventional
7601,NCT02420353,Interventional
7602,NCT04011176,Interventional
7603,NCT01287104,Interventional
7604,NCT03357224,Interventional
7605,NCT04037852,Interventional
7606,NCT04049305,Interventional
7608,NCT00263341,Interventional
7615,NCT01360736,Interventional
7609,NCT03894241,Interventional
7610,NCT02032277,Interventional
7611,NCT04599296,Interventional
7612,NCT04366284,Interventional
7613,NCT03464409,Interventional
7614,NCT01851629,Interventional
7636,NCT01207687,Interventional
7637,NCT00073853,Interventional
7638,NCT01169428,Interventional
7670,NCT02225847,Interventional
7661,NCT04230967,Interventional
7662,NCT03755401,Interventional
7663,NCT03059082,Interventional
7664,NCT03393637,Interventional
7667,NCT01212848,Interventional
7668,NCT04178538,Interventional
7672,NCT00438594,Interventional
7658,NCT02512445,Interventional
7673,NCT03266120,Interventional
7676,NCT03202745,Interventional
7677,NCT03677674,Interventional
7678,NCT01968590,Interventional
7680,NCT03000374,Interventional
7681,NCT03753360,Interventional
7659,NCT01999868,Interventional
7657,NCT00978497,Interventional
7641,NCT00667810,Interventional
7648,NCT00790790,Interventional
7642,NCT00676143,Interventional
7643,NCT00386100,Interventional
7644,NCT02887235,Interventional
7645,NCT00744991,Interventional
7646,NCT03643978,Interventional
7647,NCT00785577,Interventional
7649,NCT01390220,Interventional
7656,NCT03272074,Interventional
7650,NCT03850509,Interventional
7651,NCT01802723,Interventional
7652,NCT03672461,Interventional
7653,NCT04113135,Interventional
7654,NCT02268292,Interventional
7655,NCT02816294,Interventional
7600,NCT04271150,Interventional
7599,NCT04320576,Interventional
7597,NCT01984801,Interventional
7540,NCT01143207,Interventional
7533,NCT00702637,Interventional
7534,NCT00675974,Interventional
7535,NCT00627250,Interventional
7537,NCT02709317,Interventional
7538,NCT03950986,Interventional
7539,NCT04031326,Interventional
7541,NCT01396187,Interventional
7531,NCT02787759,Interventional
7542,NCT00473928,Interventional
7543,NCT02443727,Interventional
7544,NCT01626599,Interventional
7545,NCT03343197,Interventional
7546,NCT02268877,Interventional
7548,NCT01125124,Interventional
7532,NCT02026167,Interventional
7529,NCT03338530,Interventional
7550,NCT01510834,Interventional
7520,NCT00396526,Interventional
7514,NCT01572532,Interventional
7515,NCT01428830,Interventional
7516,NCT01386294,Interventional
7517,NCT00880204,Interventional
7518,NCT00532181,Interventional
7519,NCT00513500,Interventional
7521,NCT00379158,Interventional
7528,NCT04250688,Interventional
7522,NCT00336245,Interventional
7523,NCT00164281,Interventional
7524,NCT00130078,Interventional
7525,NCT00129532,Interventional
7526,NCT01299116,Interventional
7527,NCT02983864,Interventional
7549,NCT02820038,Interventional
7551,NCT04525651,Interventional
7596,NCT01661283,Interventional
7586,NCT03077919,Interventional
7574,NCT00110526,Interventional
7575,NCT04398784,Interventional
7576,NCT04045132,Interventional
7580,NCT03834584,Interventional
7582,NCT03932929,Interventional
7585,NCT04035382,Interventional
7587,NCT02755636,Interventional
7572,NCT01988909,Interventional
7588,NCT01673178,Interventional
7589,NCT03967912,Interventional
7590,NCT03839719,Interventional
7591,NCT03844061,Interventional
7593,NCT01582711,Interventional
7595,NCT04545424,Interventional
7573,NCT01824589,Interventional
7570,NCT04238910,Interventional
7552,NCT03439319,Interventional
7559,NCT01605903,Interventional
7553,NCT03752619,Interventional
7554,NCT03937856,Interventional
7555,NCT00165204,Interventional
7556,NCT03965676,Interventional
7557,NCT02643576,Interventional
7558,NCT03207750,Interventional
7560,NCT00974402,Interventional
7569,NCT04322357,Interventional
7561,NCT03005054,Interventional
7562,NCT00711373,Interventional
7563,NCT01775670,Interventional
7564,NCT02753842,Interventional
7565,NCT02246413,Interventional
7566,NCT04072211,Interventional
8011,NCT03896165,Interventional
8012,NCT02912078,Interventional
8013,NCT02193984,Interventional
8508,NCT01182727,Interventional
8443,NCT00775788,Interventional
8444,NCT00120614,Interventional
8445,NCT01527955,Interventional
8447,NCT04294264,Interventional
8448,NCT04253483,Interventional
8449,NCT03937687,Interventional
8450,NCT03677739,Interventional
8451,NCT03233555,Interventional
8452,NCT02295540,Interventional
8453,NCT01032590,Interventional
8454,NCT01001429,Interventional
8455,NCT00496366,Interventional
8456,NCT01280500,Interventional
8457,NCT02621944,Interventional
8458,NCT02399215,Interventional
8442,NCT01135095,Interventional
8441,NCT00621530,Interventional
8439,NCT02511301,Interventional
8429,NCT00224419,Interventional
8422,NCT00069433,Interventional
8423,NCT00006172,Interventional
8424,NCT01729299,Interventional
8425,NCT01495858,Interventional
8427,NCT01280591,Interventional
8428,NCT03613038,Interventional
8430,NCT02808702,Interventional
8437,NCT00679289,Interventional
8431,NCT01436214,Interventional
8432,NCT01698112,Interventional
8433,NCT01552213,Interventional
8434,NCT03885232,Interventional
8435,NCT02802774,Interventional
8436,NCT03333252,Interventional
8459,NCT04309370,Interventional
8460,NCT02321644,Interventional
8462,NCT03900754,Interventional
8497,NCT02700542,Interventional
8490,NCT00846872,Interventional
8491,NCT03778177,Interventional
8492,NCT01245673,Interventional
8494,NCT01264718,Interventional
8495,NCT01236586,Interventional
8496,NCT02508935,Interventional
8498,NCT02224352,Interventional
8488,NCT00063804,Interventional
8499,NCT00993590,Interventional
8500,NCT03841682,Interventional
8501,NCT03582683,Interventional
8502,NCT01174290,Interventional
8504,NCT01618461,Interventional
8506,NCT01490697,Interventional
8489,NCT02219906,Interventional
8486,NCT03055598,Interventional
8463,NCT01244568,Interventional
8475,NCT01719679,Interventional
8465,NCT00408200,Interventional
8466,NCT00574769,Interventional
8467,NCT01582451,Interventional
8469,NCT00760383,Interventional
8470,NCT00731588,Interventional
8472,NCT03533829,Interventional
8477,NCT00788632,Interventional
8484,NCT01790438,Interventional
8478,NCT02929667,Interventional
8479,NCT01625793,Interventional
8480,NCT01797497,Interventional
8481,NCT02710318,Interventional
8482,NCT00771589,Interventional
8483,NCT04232657,Interventional
8421,NCT00553319,Interventional
8420,NCT02944578,Interventional
8419,NCT02121652,Interventional
8364,NCT04474405,Interventional
8357,NCT01196169,Interventional
8358,NCT00007527,Interventional
8360,NCT00074802,Interventional
8361,NCT02541032,Interventional
8362,NCT01783327,Interventional
8363,NCT01046214,Interventional
8365,NCT00947206,Interventional
8355,NCT00002251,Interventional
8367,NCT03774186,Interventional
8368,NCT02366754,Interventional
8369,NCT01096628,Interventional
8370,NCT01226277,Interventional
8371,NCT03249103,Interventional
8373,NCT03929939,Interventional
8356,NCT02482935,Interventional
8354,NCT03672240,Interventional
8375,NCT01626417,Interventional
8343,NCT03737318,Interventional
8337,NCT02246075,Interventional
8338,NCT00176982,Interventional
8339,NCT03574584,Interventional
8340,NCT04254562,Interventional
8341,NCT02955537,Interventional
8342,NCT00713050,Interventional
8344,NCT04427527,Interventional
8353,NCT00704912,Interventional
8345,NCT02349555,Interventional
8346,NCT03848312,Interventional
8348,NCT01527617,Interventional
8349,NCT01435616,Interventional
8350,NCT02558855,Interventional
8352,NCT02028286,Interventional
8374,NCT02973594,Interventional
8376,NCT02149823,Interventional
8418,NCT00914108,Interventional
8409,NCT01253161,Interventional
8402,NCT03461783,Interventional
8403,NCT00458211,Interventional
8404,NCT00361075,Interventional
8405,NCT03781154,Interventional
8407,NCT02708069,Interventional
8408,NCT01324999,Interventional
8410,NCT00484640,Interventional
8398,NCT02706964,Interventional
8411,NCT03649958,Interventional
8412,NCT03832933,Interventional
8413,NCT02342795,Interventional
8415,NCT03806751,Interventional
8416,NCT02874989,Interventional
8417,NCT01824511,Interventional
8400,NCT02309580,Interventional
8397,NCT02037568,Interventional
8378,NCT04418934,Interventional
8386,NCT01537887,Interventional
8379,NCT01511432,Interventional
8380,NCT03458013,Interventional
8381,NCT00938782,Interventional
8382,NCT03342872,Interventional
8384,NCT01552356,Interventional
8385,NCT02792296,Interventional
8387,NCT00504023,Interventional
8394,NCT00002381,Interventional
8388,NCT04300049,Interventional
8389,NCT01422135,Interventional
8390,NCT00496483,Interventional
8391,NCT02860442,Interventional
8392,NCT00002009,Interventional
8393,NCT02808598,Interventional
8507,NCT00014950,Interventional
8509,NCT01239368,Interventional
8334,NCT04060030,Interventional
8510,NCT04473729,Interventional
8615,NCT01644812,Interventional
8616,NCT03854032,Interventional
8617,NCT03219307,Interventional
8618,NCT02538614,Interventional
8619,NCT01703507,Interventional
8620,NCT00460278,Interventional
8621,NCT04563520,Interventional
8622,NCT03616171,Interventional
8623,NCT04313504,Interventional
8624,NCT04207060,Interventional
8625,NCT03310918,Interventional
8626,NCT01841333,Interventional
8627,NCT01007552,Interventional
8628,NCT00000398,Interventional
8629,NCT01700036,Interventional
8614,NCT00253448,Interventional
8613,NCT01312181,Interventional
8612,NCT01502761,Interventional
8602,NCT01359319,Interventional
8594,NCT03581136,Interventional
8595,NCT02079766,Interventional
8596,NCT03277573,Interventional
8597,NCT00200096,Interventional
8598,NCT03051997,Interventional
8601,NCT04234568,Interventional
8603,NCT01237106,Interventional
8611,NCT03653637,Interventional
8605,NCT00046813,Interventional
8606,NCT00407615,Interventional
8607,NCT00228046,Interventional
8608,NCT01752608,Interventional
8609,NCT03200366,Interventional
8610,NCT01066949,Interventional
8630,NCT01979055,Interventional
8631,NCT00151047,Interventional
8632,NCT02088749,Interventional
8660,NCT00828100,Interventional
8654,NCT01222689,Interventional
8655,NCT00882583,Interventional
8656,NCT00422097,Interventional
8657,NCT01749384,Interventional
8658,NCT00948467,Interventional
8659,NCT03592264,Interventional
8661,NCT03629678,Interventional
8652,NCT04305457,Interventional
8662,NCT01208142,Interventional
8663,NCT00939055,Interventional
8664,NCT02415764,Interventional
8665,NCT02344537,Interventional
8666,NCT00258752,Interventional
8667,NCT01773239,Interventional
8653,NCT03494166,Interventional
8651,NCT03229057,Interventional
8633,NCT01672684,Interventional
8641,NCT02726438,Interventional
8634,NCT02019667,Interventional
8635,NCT00833898,Interventional
8636,NCT00779363,Interventional
8637,NCT03608085,Interventional
8638,NCT00619671,Interventional
8640,NCT00766051,Interventional
8642,NCT03502681,Interventional
8650,NCT03003221,Interventional
8643,NCT03932032,Interventional
8644,NCT01257802,Interventional
8645,NCT00995696,Interventional
8647,NCT03238456,Interventional
8648,NCT01468987,Interventional
8649,NCT01733017,Interventional
8593,NCT03317795,Interventional
8591,NCT00490945,Interventional
8590,NCT00245453,Interventional
8542,NCT00981253,Interventional
8536,NCT02290938,Interventional
8537,NCT02328690,Interventional
8538,NCT04170062,Interventional
8539,NCT03745040,Interventional
8540,NCT01557621,Interventional
8541,NCT03199196,Interventional
8543,NCT03674944,Interventional
8534,NCT01908517,Interventional
8544,NCT03267043,Interventional
8545,NCT04580810,Interventional
8546,NCT01028911,Interventional
8547,NCT01588457,Interventional
8548,NCT04231851,Interventional
8549,NCT01721057,Interventional
8535,NCT00626457,Interventional
8533,NCT02605200,Interventional
8551,NCT01711359,Interventional
8521,NCT04018092,Interventional
8511,NCT03406260,Interventional
8515,NCT01352286,Interventional
8516,NCT02133209,Interventional
8517,NCT01240993,Interventional
8519,NCT03372811,Interventional
8520,NCT04258332,Interventional
8522,NCT03581877,Interventional
8532,NCT01439750,Interventional
8524,NCT01041170,Interventional
8526,NCT00587496,Interventional
8527,NCT00723203,Interventional
8528,NCT01978080,Interventional
8529,NCT02080975,Interventional
8530,NCT00511901,Interventional
8550,NCT01839396,Interventional
8552,NCT01710358,Interventional
8588,NCT02360644,Interventional
8579,NCT01428258,Interventional
8572,NCT02189876,Interventional
8573,NCT03574974,Interventional
8574,NCT03483441,Interventional
8576,NCT02553161,Interventional
8577,NCT00749944,Interventional
8578,NCT02765906,Interventional
8580,NCT01859000,Interventional
8570,NCT02133846,Interventional
8581,NCT00266864,Interventional
8582,NCT04471337,Interventional
8583,NCT04454424,Interventional
8584,NCT01481779,Interventional
8586,NCT00000798,Interventional
8587,NCT01800318,Interventional
8571,NCT03001024,Interventional
8569,NCT02247765,Interventional
8553,NCT03135249,Interventional
8560,NCT02656212,Interventional
8554,NCT00268242,Interventional
8555,NCT03560232,Interventional
8556,NCT00644566,Interventional
8557,NCT03281161,Interventional
8558,NCT04401904,Interventional
8559,NCT04051229,Interventional
8561,NCT03622697,Interventional
8568,NCT04502524,Interventional
8562,NCT01975857,Interventional
8563,NCT03398902,Interventional
8564,NCT02835495,Interventional
8565,NCT01307137,Interventional
8566,NCT02187055,Interventional
8567,NCT02906241,Interventional
8336,NCT04205539,Interventional
8333,NCT01928719,Interventional
8014,NCT03176004,Interventional
8171,NCT01856049,Interventional
8115,NCT04441307,Interventional
8116,NCT02424526,Interventional
8117,NCT03730259,Interventional
8118,NCT03637296,Interventional
8120,NCT00404274,Interventional
8121,NCT04007913,Interventional
8122,NCT00004409,Interventional
8123,NCT01980771,Interventional
8124,NCT02213029,Interventional
8126,NCT01017523,Interventional
8127,NCT01276600,Interventional
8128,NCT01460940,Interventional
8129,NCT00537043,Interventional
8130,NCT00148031,Interventional
8131,NCT00481182,Interventional
8114,NCT01683227,Interventional
8113,NCT00679666,Interventional
8112,NCT02981160,Interventional
8102,NCT02219399,Interventional
8096,NCT03790358,Interventional
8097,NCT03772210,Interventional
8098,NCT03582566,Interventional
8099,NCT00876226,Interventional
8100,NCT00336089,Interventional
8101,NCT03887793,Interventional
8103,NCT01537068,Interventional
8111,NCT02759172,Interventional
8104,NCT04106882,Interventional
8105,NCT02088177,Interventional
8106,NCT00302055,Interventional
8107,NCT04043936,Interventional
8108,NCT03694418,Interventional
8109,NCT03312387,Interventional
8132,NCT03599193,Interventional
8133,NCT01447602,Interventional
8134,NCT00000273,Interventional
8162,NCT04390243,Interventional
8156,NCT00427128,Interventional
8157,NCT03353922,Interventional
8158,NCT00045903,Interventional
8159,NCT02256085,Interventional
8160,NCT01401023,Interventional
8161,NCT03569059,Interventional
8163,NCT00700791,Interventional
8154,NCT00738920,Interventional
8164,NCT00482963,Interventional
8165,NCT00320749,Interventional
8166,NCT02303392,Interventional
8167,NCT03523507,Interventional
8168,NCT01958437,Interventional
8169,NCT01535924,Interventional
8155,NCT00389493,Interventional
8153,NCT03097016,Interventional
8135,NCT01223404,Interventional
8143,NCT03246113,Interventional
8136,NCT02566317,Interventional
8137,NCT00760812,Interventional
8138,NCT01184755,Interventional
8139,NCT03711500,Interventional
8140,NCT03205709,Interventional
8142,NCT02853435,Interventional
8144,NCT02140775,Interventional
8152,NCT01812005,Interventional
8145,NCT01141049,Interventional
8146,NCT00004084,Interventional
8148,NCT03168529,Interventional
8149,NCT00017199,Interventional
8150,NCT00568308,Interventional
8151,NCT01545934,Interventional
8095,NCT04294966,Interventional
8094,NCT02825771,Interventional
8093,NCT02952352,Interventional
8041,NCT02836990,Interventional
8035,NCT01112709,Interventional
8036,NCT01505257,Interventional
8037,NCT02077907,Interventional
8038,NCT02407093,Interventional
8039,NCT03771417,Interventional
8040,NCT02994654,Interventional
8042,NCT01109576,Interventional
8033,NCT03625570,Interventional
8043,NCT01337232,Interventional
8045,NCT00061906,Interventional
8046,NCT01898299,Interventional
8048,NCT02763150,Interventional
8049,NCT01408147,Interventional
8050,NCT03389750,Interventional
8034,NCT01048619,Interventional
8032,NCT04080128,Interventional
8052,NCT02864160,Interventional
8022,NCT02160847,Interventional
8015,NCT00004048,Interventional
8017,NCT01695291,Interventional
8018,NCT04075877,Interventional
8019,NCT00043745,Interventional
8020,NCT02162927,Interventional
8021,NCT04387734,Interventional
8023,NCT00742781,Interventional
8031,NCT02255474,Interventional
8024,NCT03343106,Interventional
8025,NCT01025674,Interventional
8026,NCT01929122,Interventional
8027,NCT01515072,Interventional
8029,NCT01964404,Interventional
8030,NCT02593474,Interventional
8051,NCT02251743,Interventional
8053,NCT02144649,Interventional
8092,NCT03481049,Interventional
8084,NCT02858778,Interventional
8077,NCT00124943,Interventional
8078,NCT01389544,Interventional
8079,NCT01167270,Interventional
8080,NCT01713972,Interventional
8081,NCT02371317,Interventional
8082,NCT00397735,Interventional
8085,NCT01052220,Interventional
8075,NCT03874793,Interventional
8086,NCT00936390,Interventional
8087,NCT02571478,Interventional
8088,NCT03893708,Interventional
8089,NCT03489434,Interventional
8090,NCT02036905,Interventional
8091,NCT02337296,Interventional
8076,NCT02967016,Interventional
8074,NCT00167921,Interventional
8054,NCT01147614,Interventional
8063,NCT00604214,Interventional
8055,NCT01818739,Interventional
8057,NCT01530321,Interventional
8058,NCT04464993,Interventional
8060,NCT02103660,Interventional
8061,NCT02272998,Interventional
8062,NCT01959217,Interventional
8065,NCT00599599,Interventional
8073,NCT02184494,Interventional
8066,NCT02197390,Interventional
8067,NCT04332172,Interventional
8068,NCT04083690,Interventional
8069,NCT02641990,Interventional
8071,NCT03665675,Interventional
8072,NCT03015896,Interventional
8170,NCT00417976,Interventional
8172,NCT01846845,Interventional
8332,NCT01928758,Interventional
8173,NCT01839123,Interventional
8271,NCT02333045,Interventional
8272,NCT00874575,Interventional
8273,NCT03069352,Interventional
8276,NCT02929485,Interventional
8277,NCT00941876,Interventional
8279,NCT00458042,Interventional
8280,NCT01910402,Interventional
8281,NCT02551640,Interventional
8283,NCT00783172,Interventional
8284,NCT00089154,Interventional
8285,NCT00055861,Interventional
8286,NCT03817931,Interventional
8287,NCT00605189,Interventional
8288,NCT00751270,Interventional
8289,NCT00308386,Interventional
8270,NCT03170700,Interventional
8269,NCT04117022,Interventional
8268,NCT00380679,Interventional
8259,NCT00514449,Interventional
8253,NCT02812147,Interventional
8254,NCT01250938,Interventional
8255,NCT01100268,Interventional
8256,NCT02717754,Interventional
8257,NCT03634397,Interventional
8258,NCT00067353,Interventional
8260,NCT00515177,Interventional
8267,NCT03917979,Interventional
8261,NCT03223337,Interventional
8262,NCT03840096,Interventional
8263,NCT00079456,Interventional
8264,NCT04491591,Interventional
8265,NCT03872856,Interventional
8266,NCT03584945,Interventional
8291,NCT00760279,Interventional
8292,NCT01709110,Interventional
8293,NCT00861627,Interventional
8322,NCT01219647,Interventional
8316,NCT02037750,Interventional
8317,NCT03717233,Interventional
8318,NCT04362189,Interventional
8319,NCT04514471,Interventional
8320,NCT01657422,Interventional
8321,NCT01637129,Interventional
8323,NCT00308971,Interventional
8314,NCT03404219,Interventional
8324,NCT01506323,Interventional
8325,NCT00760474,Interventional
8327,NCT04369742,Interventional
8329,NCT00418314,Interventional
8330,NCT00767806,Interventional
8331,NCT01772290,Interventional
8315,NCT03637972,Interventional
8313,NCT00032760,Interventional
8294,NCT03280836,Interventional
8303,NCT00026221,Interventional
8295,NCT02835729,Interventional
8296,NCT00529308,Interventional
8298,NCT01130506,Interventional
8299,NCT03383666,Interventional
8301,NCT01468896,Interventional
8302,NCT01017640,Interventional
8304,NCT00380068,Interventional
8312,NCT00004375,Interventional
8305,NCT03367845,Interventional
8306,NCT04567394,Interventional
8308,NCT02429479,Interventional
8309,NCT04188106,Interventional
8310,NCT03482440,Interventional
8311,NCT04097353,Interventional
8252,NCT01417286,Interventional
8251,NCT01649947,Interventional
8250,NCT01742338,Interventional
8200,NCT00542113,Interventional
8193,NCT04470544,Interventional
8194,NCT01492738,Interventional
8195,NCT00004494,Interventional
8196,NCT00170079,Interventional
8198,NCT02313181,Interventional
8199,NCT03057119,Interventional
8201,NCT03003949,Interventional
8190,NCT04501536,Interventional
8202,NCT03278340,Interventional
8203,NCT03865758,Interventional
8204,NCT04189523,Interventional
8205,NCT03181022,Interventional
8206,NCT00520208,Interventional
8207,NCT03313375,Interventional
8191,NCT01889758,Interventional
8189,NCT01996865,Interventional
8210,NCT00271739,Interventional
8180,NCT00414323,Interventional
8174,NCT02992522,Interventional
8175,NCT00694044,Interventional
8176,NCT01814501,Interventional
8177,NCT02077959,Interventional
8178,NCT02049541,Interventional
8179,NCT03446833,Interventional
8181,NCT00917085,Interventional
8188,NCT01632202,Interventional
8182,NCT02422940,Interventional
8183,NCT00125580,Interventional
8184,NCT02022657,Interventional
8185,NCT02266576,Interventional
8186,NCT01343056,Interventional
8187,NCT02025439,Interventional
8209,NCT03459118,Interventional
8211,NCT01882439,Interventional
8249,NCT01810640,Interventional
8240,NCT01658228,Interventional
8234,NCT00176462,Interventional
8235,NCT00676793,Interventional
8236,NCT03511001,Interventional
8237,NCT04363450,Interventional
8238,NCT00784849,Interventional
8239,NCT00736268,Interventional
8241,NCT00332228,Interventional
8232,NCT01811940,Interventional
8242,NCT04492462,Interventional
8244,NCT04150055,Interventional
8245,NCT03112720,Interventional
8246,NCT03028948,Interventional
8247,NCT02688192,Interventional
8248,NCT02637427,Interventional
8233,NCT03130699,Interventional
8231,NCT02255357,Interventional
8212,NCT01297062,Interventional
8220,NCT00126152,Interventional
8213,NCT01880372,Interventional
8214,NCT03557294,Interventional
8215,NCT02147613,Interventional
8216,NCT03202277,Interventional
8217,NCT03227575,Interventional
8219,NCT00968773,Interventional
8221,NCT02021578,Interventional
8230,NCT03344419,Interventional
8222,NCT00220714,Interventional
8223,NCT00775476,Interventional
8225,NCT04204447,Interventional
8226,NCT03810365,Interventional
8228,NCT00879996,Interventional
8229,NCT03740139,Interventional
7687,NCT04053842,Interventional
5000,NCT02270164,Interventional
5537,NCT03860818,Interventional
2338,NCT03240068,Interventional
2447,NCT02231957,Interventional
2446,NCT00115830,Interventional
2445,NCT01862536,Interventional
2443,NCT03479905,Interventional
2442,NCT00004727,Interventional
2441,NCT01416766,Interventional
2440,NCT02289313,Interventional
2439,NCT02517996,Interventional
2438,NCT00797615,Interventional
2437,NCT00481507,Interventional
2432,NCT04122378,Interventional
2431,NCT01195571,Interventional
2429,NCT01689025,Interventional
2428,NCT03737370,Interventional
2427,NCT02738749,Interventional
2426,NCT03908879,Interventional
2425,NCT01330810,Interventional
2424,NCT03028688,Interventional
2423,NCT00461162,Interventional
2422,NCT02660086,Interventional
2420,NCT00123578,Interventional
2419,NCT00102817,Interventional
2418,NCT02435771,Interventional
2417,NCT01049048,Interventional
2415,NCT01822171,Interventional
2448,NCT00734344,Interventional
2449,NCT00274417,Interventional
2450,NCT03664765,Interventional
2470,NCT00018876,Interventional
2483,NCT03337113,Interventional
2482,NCT02703909,Interventional
2481,NCT02529150,Interventional
2480,NCT00907959,Interventional
2479,NCT02941809,Interventional
2478,NCT00135109,Interventional
2477,NCT03702270,Interventional
2475,NCT01871896,Interventional
2474,NCT01599923,Interventional
2473,NCT00643812,Interventional
2471,NCT00590161,Interventional
2469,NCT02298192,Interventional
2452,NCT02861131,Interventional
2468,NCT04496804,Interventional
2467,NCT03426137,Interventional
2466,NCT00186862,Interventional
2465,NCT01433770,Interventional
2464,NCT00071448,Interventional
2463,NCT03742258,Interventional
2462,NCT00378950,Interventional
2460,NCT04016584,Interventional
2455,NCT04233164,Interventional
2454,NCT03333109,Interventional
2453,NCT02187913,Interventional
2414,NCT00436865,Interventional
2412,NCT02277314,Interventional
2411,NCT00682669,Interventional
2354,NCT03219372,Interventional
2371,NCT01315483,Interventional
2370,NCT00271011,Interventional
2369,NCT00538083,Interventional
2368,NCT02221726,Interventional
2366,NCT04033432,Interventional
2365,NCT00421850,Interventional
2364,NCT03020875,Interventional
2358,NCT04481373,Interventional
2357,NCT03678870,Interventional
2356,NCT01173276,Interventional
2355,NCT01854229,Interventional
2352,NCT00856830,Interventional
2375,NCT01652573,Interventional
2350,NCT04221633,Interventional
2349,NCT00728377,Interventional
2348,NCT00248196,Interventional
2347,NCT01742169,Interventional
2346,NCT03340051,Interventional
2345,NCT01252316,Interventional
2344,NCT04323267,Interventional
2343,NCT00674336,Interventional
2342,NCT01402453,Interventional
2341,NCT00722774,Interventional
2340,NCT00734175,Interventional
2374,NCT03976336,Interventional
2376,NCT00718653,Interventional
2409,NCT01364805,Interventional
2393,NCT02219321,Interventional
2408,NCT01770184,Interventional
2406,NCT00000455,Interventional
2404,NCT00675506,Interventional
2403,NCT03960970,Interventional
2402,NCT02141178,Interventional
2401,NCT00313404,Interventional
2400,NCT01951209,Interventional
2399,NCT02840097,Interventional
2398,NCT04469036,Interventional
2397,NCT00943904,Interventional
2394,NCT02828111,Interventional
2391,NCT01658800,Interventional
2379,NCT03623633,Interventional
2390,NCT00680706,Interventional
2389,NCT01396044,Interventional
2388,NCT00528931,Interventional
2387,NCT01040663,Interventional
2386,NCT01968642,Interventional
2385,NCT02714413,Interventional
2384,NCT00224913,Interventional
2383,NCT01376778,Interventional
2382,NCT00798551,Interventional
2381,NCT00012883,Interventional
2380,NCT01333917,Interventional
2484,NCT01985763,Interventional
2486,NCT00203996,Interventional
2487,NCT01748890,Interventional
2581,NCT03925038,Interventional
