,NCTId,EnrollmentCount
5693,NCT03707080,70
2276,NCT00392015,70
4963,NCT02071745,70
2857,NCT01231165,70
9562,NCT04087213,70
6352,NCT02626611,70
1786,NCT02015546,70
6162,NCT00583752,70
5653,NCT01177579,70
7122,NCT04586049,70
7381,NCT00751946,70
3262,NCT03077945,70
9121,NCT04485026,70
6507,NCT04522258,70
9657,NCT04017312,70
1059,NCT04031365,70
3428,NCT01852955,70
9928,NCT03811405,70
7299,NCT03920137,70
8219,NCT00968773,70
5968,NCT02367521,70
6265,NCT01290601,70
2408,NCT01770184,70
9105,NCT04498520,70
1582,NCT01724619,7
6260,NCT01843621,7
7981,NCT00124579,7
5125,NCT01155869,7
2510,NCT01744821,7
3913,NCT02583178,7
1818,NCT01561352,7
2333,NCT00709696,7
6798,NCT03030703,7
6277,NCT00384670,7
2663,NCT01924273,7
2829,NCT00495209,7
3053,NCT00624000,7
6201,NCT01055990,7
8604,NCT00176722,7
8783,NCT02061423,7
5501,NCT00498355,7
9991,NCT03770377,7
5498,NCT03451773,7
3529,NCT01588158,7
1349,NCT01992172,7
2189,NCT01547286,7
2290,NCT00946088,7
5634,NCT00958022,7
2407,NCT02055222,7
6153,NCT00716469,7
4787,NCT00858403,7
3503,NCT00579150,7
3321,NCT04046055,7
5284,NCT02429375,7
4920,NCT00159458,7
1187,NCT02895997,7
8880,NCT03600532,7
1384,NCT03237364,7
8811,NCT02696291,7
7614,NCT01851629,7
3043,NCT02240407,7
5032,NCT02056535,698
8810,NCT03136094,698
3133,NCT00180466,697
1891,NCT03480854,694
6536,NCT01746979,693
7731,NCT00901979,693
7838,NCT04281264,69
5514,NCT03152760,69
2521,NCT04163614,69
4625,NCT02476630,69
7030,NCT02374918,69
5170,NCT00129662,69
6042,NCT02871349,69
3290,NCT00855296,69
3119,NCT02299427,69
1819,NCT01293604,69
6849,NCT02863809,69
8252,NCT01417286,69
7643,NCT00386100,688
56,NCT01287247,688
8549,NCT01721057,684
5302,NCT01382524,682
5108,NCT02744846,681739
4038,NCT00402922,6814
7210,NCT01873196,6811
3469,NCT00324155,681
8540,NCT01557621,68000
9619,NCT04044924,6800
