,NCTId,InterventionType
156,NCT03346603,Other
5830,NCT04316429,Other
5830,NCT04316429,Other
6432,NCT02134847,Other
9196,NCT04404855,Other
9193,NCT04407377,Other
5835,NCT01659411,Other
6719,NCT01087736,Other
9606,NCT04053868,Other
9902,NCT03828916,Other
6602,NCT01480804,Other
9606,NCT04053868,Other
5836,NCT02081391,Other
1136,NCT03906006,Other
6433,NCT03400436,Other
9192,NCT04409236,Other
9190,NCT04410627,Other
6434,NCT02991664,Other
6434,NCT02991664,Other
6967,NCT01115998,Other
6115,NCT01339208,Other
6435,NCT02888912,Other
9022,NCT04572581,Other
5840,NCT02830945,Other
6435,NCT02888912,Other
6436,NCT04182529,Other
6967,NCT01115998,Other
9611,NCT04049331,Other
6809,NCT03973606,Other
1446,NCT02829086,Other
7005,NCT03532139,Other
9675,NCT04002102,Other
1379,NCT00907972,Other
5945,NCT03685058,Other
9798,NCT03904407,Other
9094,NCT04508348,Other
9798,NCT03904407,Other
9797,NCT03904420,Other
6502,NCT01787175,Other
6503,NCT04154462,Other
9797,NCT03904420,Other
9713,NCT03976102,Other
1288,NCT03043300,Other
1288,NCT03043300,Other
1288,NCT03043300,Other
1288,NCT03043300,Other
1288,NCT03043300,Other
9720,NCT03969589,Other
1288,NCT03043300,Other
6508,NCT04419948,Other
1288,NCT03043300,Other
9126,NCT04483206,Other
1289,NCT03341754,Other
6543,NCT01987908,Other
6508,NCT04419948,Other
6020,NCT03390335,Other
6020,NCT03390335,Other
6508,NCT04419948,Other
6508,NCT04419948,Other
6508,NCT04419948,Other
6508,NCT04419948,Other
9098,NCT04505410,Other
9094,NCT04508348,Other
6763,NCT04598386,Other
6753,NCT03085953,Other
9093,NCT04508751,Other
6549,NCT02524613,Other
9710,NCT03979846,Other
1276,NCT01913925,Other
1277,NCT01714479,Other
1277,NCT01714479,Other
1388,NCT02940717,Other
1278,NCT01292395,Other
6029,NCT03197675,Other
1388,NCT02940717,Other
1280,NCT01166815,Other
7093,NCT01474057,Other
9710,NCT03979846,Other
9128,NCT04481919,Other
6028,NCT03197896,Other
9710,NCT03979846,Other
7092,NCT04476901,Other
6026,NCT03230903,Other
6026,NCT03230903,Other
6548,NCT02889640,Other
6548,NCT02889640,Other
6548,NCT02889640,Other
9799,NCT03904043,Other
9710,NCT03979846,Other
5939,NCT00643721,Other
9089,NCT04513990,Other
1284,NCT01007188,Other
1284,NCT01007188,Other
1284,NCT01007188,Other
6500,NCT03924674,Other
1369,NCT03993002,Other
1369,NCT03993002,Other
9675,NCT04002102,Other
1319,NCT02369614,Other
1321,NCT04589416,Other
6516,NCT01853384,Other
7049,NCT01663792,Other
1355,NCT00417599,Other
6519,NCT03820921,Other
6520,NCT03867812,Other
7067,NCT00572884,Other
9743,NCT03945474,Other
6744,NCT02991690,Other
5989,NCT04136548,Other
9743,NCT03945474,Other
6520,NCT03867812,Other
9745,NCT03944746,Other
5970,NCT02477124,Other
7049,NCT01663792,Other
6520,NCT03867812,Other
9396,NCT04235907,Other
9748,NCT03941743,Other
9765,NCT03929237,Other
1349,NCT01992172,Other
7049,NCT01663792,Other
1336,NCT01992185,Other
1337,NCT01916629,Other
9112,NCT04494945,Other
5976,NCT04571008,Other
1340,NCT01728142,Other
9112,NCT04494945,Other
1341,NCT01728129,Other
1343,NCT02413710,Other
1320,NCT03088111,Other
1319,NCT02369614,Other
1369,NCT03993002,Other
1319,NCT02369614,Other
6541,NCT01420016,Other
6010,NCT03621085,Other
6008,NCT03673371,Other
6006,NCT03708276,Other
1369,NCT03993002,Other
9788,NCT03912363,Other
9788,NCT03912363,Other
9787,NCT03913169,Other
1367,NCT02867358,Other
1304,NCT03530020,Other
1304,NCT03530020,Other
1305,NCT04374201,Other
1305,NCT04374201,Other
9737,NCT03951883,Other
9737,NCT03951883,Other
9781,NCT03916809,Other
6002,NCT03789396,Other
1308,NCT04274959,Other
1308,NCT04274959,Other
6002,NCT03789396,Other
5955,NCT04255953,Other
1313,NCT04017624,Other
1313,NCT04017624,Other
9774,NCT03922529,Other
7041,NCT01294150,Other
5997,NCT03898271,Other
5957,NCT02267187,Other
7043,NCT03309046,Other
7043,NCT03309046,Other
1276,NCT01913925,Other
9086,NCT04516213,Other
6551,NCT03409575,Other
9844,NCT03867877,Other
5902,NCT02632422,Other
9687,NCT03995979,Other
9069,NCT04531514,Other
9069,NCT04531514,Other
5902,NCT02632422,Other
5902,NCT02632422,Other
1419,NCT03981952,Other
6048,NCT02611375,Other
1244,NCT02418702,Other
6048,NCT02611375,Other
9071,NCT04528446,Other
1418,NCT01322633,Other
9689,NCT03993886,Other
9689,NCT03993886,Other
9689,NCT03993886,Other
9838,NCT03874507,Other
6048,NCT02611375,Other
1245,NCT02415309,Other
1418,NCT01322633,Other
9689,NCT03993886,Other
1415,NCT02544334,Other
1415,NCT02544334,Other
9132,NCT04479514,Other
6046,NCT02657135,Other
5904,NCT02307916,Other
9132,NCT04479514,Other
6046,NCT02657135,Other
6046,NCT02657135,Other
6046,NCT02657135,Other
9069,NCT04531514,Other
9686,NCT03996707,Other
6551,NCT03409575,Other
9686,NCT03996707,Other
9675,NCT04002102,Other
9678,NCT04000880,Other
9847,NCT03867344,Other
1446,NCT02829086,Other
1443,NCT03876665,Other
9678,NCT04000880,Other
9847,NCT03867344,Other
9846,NCT03867539,Other
9678,NCT04000880,Other
1440,NCT02204176,Other
1230,NCT02818413,Other
1440,NCT02204176,Other
1440,NCT02204176,Other
1439,NCT02045706,Other
1232,NCT01369173,Other
1233,NCT02423551,Other
6787,NCT00932061,Other
5893,NCT03453554,Other
5893,NCT03453554,Other
9679,NCT04000555,Other
6051,NCT02535949,Other
9681,NCT03999957,Other
1240,NCT00593086,Other
6787,NCT00932061,Other
6782,NCT01614444,Other
9062,NCT04539821,Other
6782,NCT01614444,Other
9132,NCT04479514,Other
9844,NCT03867877,Other
9132,NCT04479514,Other
6046,NCT02657135,Other
6046,NCT02657135,Other
1254,NCT01605669,Other
9698,NCT03984994,Other
9698,NCT03984994,Other
9702,NCT03982342,Other
6496,NCT04520984,Other
1265,NCT04010162,Other
9703,NCT03982160,Other
1267,NCT03185728,Other
7096,NCT01079247,Other
6496,NCT04520984,Other
6764,NCT04416412,Other
7096,NCT01079247,Other
1269,NCT04111263,Other
5925,NCT01881815,Other
5926,NCT01750203,Other
1269,NCT04111263,Other
7095,NCT03077126,Other
1270,NCT01890850,Other
6033,NCT03097978,Other
6033,NCT03097978,Other
7018,NCT01992263,Other
1392,NCT03713918,Other
1273,NCT02763020,Other
1392,NCT03713918,Other
1273,NCT02763020,Other
9805,NCT03899181,Other
6763,NCT04598386,Other
1275,NCT01921153,Other
5931,NCT01213914,Other
1391,NCT01702857,Other
6494,NCT04304833,Other
9696,NCT03985852,Other
6564,NCT02611648,Other
9824,NCT03881267,Other
9831,NCT03877003,Other
9131,NCT04479943,Other
6570,NCT01267877,Other
6570,NCT01267877,Other
6774,NCT03342482,Other
1412,NCT02280733,Other
9071,NCT04528446,Other
5907,NCT01928849,Other
7109,NCT00349622,Other
1258,NCT04501419,Other
9072,NCT04526808,Other
1407,NCT03430310,Other
1407,NCT03430310,Other
9824,NCT03881267,Other
6564,NCT02611648,Other
6044,NCT02721680,Other
5910,NCT01794078,Other
5911,NCT01773655,Other
9824,NCT03881267,Other
6044,NCT02721680,Other
6566,NCT04306549,Other
5912,NCT01518491,Other
7108,NCT03834714,Other
6733,NCT00234806,Other
7013,NCT04581317,Other
7013,NCT04581317,Other
7013,NCT04581317,Other
9695,NCT03989492,Other
9589,NCT04066218,Other
1345,NCT04565860,Other
9588,NCT04068649,Other
7209,NCT01930084,Other
9307,NCT04307004,Other
6690,NCT04205656,Other
7209,NCT01930084,Other
1691,NCT02568202,Other
6359,NCT01987388,Other
9307,NCT04307004,Other
5704,NCT04240483,Other
9475,NCT04162678,Other
6658,NCT01574300,Other
5704,NCT04240483,Other
9475,NCT04162678,Other
7208,NCT01985269,Other
1688,NCT03947593,Other
6657,NCT02418962,Other
6359,NCT01987388,Other
6897,NCT00999453,Other
9485,NCT04149249,Other
6247,NCT04360486,Other
9485,NCT04149249,Other
8961,NCT03718104,Other
9959,NCT03792698,Other
9486,NCT04148352,Other
9295,NCT04319094,Other
8961,NCT03718104,Other
6901,NCT02263001,Other
6365,NCT01403649,Other
9488,NCT04145895,Other
8961,NCT03718104,Other
9489,NCT04145791,Other
7209,NCT01930084,Other
53,NCT03197688,Other
9956,NCT03794102,Other
9307,NCT04307004,Other
6349,NCT03005145,Other
5692,NCT00101868,Other
9327,NCT04294004,Other
1700,NCT03224416,Other
44,NCT01290393,Other
6688,NCT04212650,Other
1700,NCT03224416,Other
1700,NCT03224416,Other
46,NCT00875641,Other
6349,NCT03005145,Other
6851,NCT01007890,Other
6892,NCT01825226,Other
9320,NCT04299438,Other
47,NCT03199846,Other
9317,NCT04302948,Other
48,NCT04587245,Other
6354,NCT01886326,Other
49,NCT02773979,Other
9313,NCT04305587,Other
9311,NCT04305613,Other
6355,NCT04156919,Other
6253,NCT02491606,Other
6359,NCT01987388,Other
6359,NCT01987388,Other
5697,NCT04330235,Other
9307,NCT04307004,Other
5698,NCT03089684,Other
7211,NCT01872390,Other
7211,NCT01872390,Other
6901,NCT02263001,Other
1682,NCT04003454,Other
9328,NCT04293406,Other
9277,NCT04332861,Other
1007,NCT03463577,Other
6842,NCT03264235,Other
9501,NCT04131946,Other
9502,NCT04131647,Other
6909,NCT04442620,Other
9502,NCT04131647,Other
6693,NCT03833674,Other
1010,NCT02641158,Other
9953,NCT03795701,Other
5716,NCT02352116,Other
6913,NCT03248583,Other
8964,NCT03233594,Other
6913,NCT03248583,Other
8964,NCT03233594,Other
6841,NCT04534959,Other
6384,NCT04180020,Other
9513,NCT04123041,Other
9514,NCT04121858,Other
8968,NCT03185546,Other
9514,NCT04121858,Other
5717,NCT03723928,Other
5717,NCT03723928,Other
5717,NCT03723928,Other
5717,NCT03723928,Other
75,NCT02616198,Other
1658,NCT02550886,Other
6384,NCT04180020,Other
75,NCT02616198,Other
1656,NCT01363037,Other
5716,NCT02352116,Other
6909,NCT04442620,Other
9289,NCT04322162,Other
6909,NCT04442620,Other
9287,NCT04323176,Other
9956,NCT03794102,Other
6368,NCT01984983,Other
1679,NCT00976833,Other
1679,NCT00976833,Other
7199,NCT03074799,Other
7199,NCT03074799,Other
6693,NCT03833674,Other
7198,NCT03254628,Other
1675,NCT02005198,Other
1674,NCT03621826,Other
7198,NCT03254628,Other
7197,NCT03555669,Other
7195,NCT03824756,Other
1672,NCT03536676,Other
1672,NCT03536676,Other
7195,NCT03824756,Other
1670,NCT03789721,Other
1670,NCT03789721,Other
8962,NCT04066894,Other
8962,NCT04066894,Other
6693,NCT03833674,Other
9284,NCT04328467,Other
9494,NCT04142229,Other
6693,NCT03833674,Other
6843,NCT00711087,Other
6235,NCT02815852,Other
6902,NCT02847117,Other
9495,NCT04138953,Other
9461,NCT04179981,Other
6262,NCT01769612,Other
6836,NCT02541123,Other
6679,NCT04171960,Other
7,NCT02019732,Other
6679,NCT04171960,Other
6314,NCT01674049,Other
9408,NCT04228289,Other
6316,NCT01454674,Other
6679,NCT04171960,Other
6863,NCT00760851,Other
6679,NCT04171960,Other
9992,NCT03769961,Other
6679,NCT04171960,Other
8948,NCT04571502,Other
6679,NCT04171960,Other
9988,NCT03771638,Other
6863,NCT00760851,Other
13,NCT00121108,Other
9374,NCT04253782,Other
1732,NCT03511937,Other
6319,NCT00671944,Other
9370,NCT04254692,Other
9418,NCT04221607,Other
5667,NCT02836288,Other
1730,NCT01511393,Other
9421,NCT04219397,Other
9421,NCT04219397,Other
17,NCT03973905,Other
6284,NCT02310334,Other
5672,NCT03813628,Other
5672,NCT03813628,Other
5672,NCT03813628,Other
6312,NCT03577223,Other
6312,NCT03577223,Other
9368,NCT04257045,Other
1742,NCT01781949,Other
6872,NCT02679937,Other
5647,NCT02442739,Other
6298,NCT01843686,Other
9396,NCT04235907,Other
6878,NCT01209910,Other
9390,NCT04240691,Other
9398,NCT04235725,Other
1752,NCT00519402,Other
5650,NCT04251208,Other
9388,NCT04240951,Other
1750,NCT04136951,Other
1749,NCT01988532,Other
6303,NCT00352391,Other
9384,NCT04242186,Other
6871,NCT03649191,Other
5654,NCT00785200,Other
6871,NCT03649191,Other
5654,NCT00785200,Other
6868,NCT02725970,Other
3,NCT01599390,Other
7244,NCT03211884,Other
6293,NCT03663361,Other
6293,NCT03663361,Other
9380,NCT04246996,Other
1742,NCT01781949,Other
6292,NCT03796884,Other
1742,NCT01781949,Other
6309,NCT04385251,Other
6310,NCT04306523,Other
9368,NCT04257045,Other
7236,NCT02971072,Other
9460,NCT04180540,Other
5681,NCT03409367,Other
9351,NCT04270474,Other
9351,NCT04270474,Other
9432,NCT04210180,Other
6887,NCT02228265,Other
9977,NCT03778294,Other
38,NCT03952364,Other
9976,NCT03779269,Other
1714,NCT01846312,Other
6275,NCT00468858,Other
8951,NCT03197454,Other
9433,NCT04210024,Other
8951,NCT03197454,Other
6332,NCT04414904,Other
6887,NCT02228265,Other
1712,NCT02672735,Other
41,NCT02395536,Other
41,NCT02395536,Other
6337,NCT04213664,Other
6888,NCT00253643,Other
6888,NCT00253643,Other
8953,NCT04606966,Other
8953,NCT04606966,Other
8953,NCT04606966,Other
9450,NCT04195399,Other
9450,NCT04195399,Other
9972,NCT03781986,Other
9455,NCT04188197,Other
9456,NCT04188015,Other
9457,NCT04186793,Other
9352,NCT04269772,Other
9429,NCT04211766,Other
6855,NCT02878850,Other
9429,NCT04211766,Other
7235,NCT01140269,Other
7234,NCT01387490,Other
1721,NCT03336567,Other
9368,NCT04257045,Other
6284,NCT02310334,Other
6283,NCT00287469,Other
6685,NCT03504085,Other
5677,NCT00681993,Other
5677,NCT00681993,Other
9362,NCT04262180,Other
5677,NCT00681993,Other
9362,NCT04262180,Other
9362,NCT04262180,Other
31,NCT04562636,Other
5677,NCT00681993,Other
31,NCT04562636,Other
9425,NCT04216732,Other
9425,NCT04216732,Other
5677,NCT00681993,Other
31,NCT04562636,Other
6685,NCT03504085,Other
9977,NCT03778294,Other
9977,NCT03778294,Other
6854,NCT04100564,Other
6325,NCT04510844,Other
9360,NCT04263233,Other
9360,NCT04263233,Other
9360,NCT04263233,Other
6278,NCT00370682,Other
75,NCT02616198,Other
75,NCT02616198,Other
6388,NCT02195570,Other
9227,NCT04378075,Other
5773,NCT02559219,Other
110,NCT01704235,Other
6824,NCT02206542,Other
6706,NCT02157051,Other
6621,NCT04026802,Other
5776,NCT01480193,Other
6621,NCT04026802,Other
5776,NCT01480193,Other
6929,NCT02075801,Other
9566,NCT04084210,Other
6929,NCT02075801,Other
8994,NCT04594902,Other
6823,NCT03052452,Other
9566,NCT04084210,Other
5778,NCT01841983,Other
6192,NCT03821402,Other
1073,NCT01306968,Other
9568,NCT04083859,Other
9568,NCT04083859,Other
1076,NCT04468360,Other
7167,NCT02153346,Other
7167,NCT02153346,Other
9572,NCT04080570,Other
9578,NCT04075682,Other
9225,NCT04378751,Other
9224,NCT04378790,Other
7165,NCT01807728,Other
7165,NCT01807728,Other
7163,NCT00643188,Other
9578,NCT04075682,Other
5772,NCT03828708,Other
9931,NCT03810417,Other
9564,NCT04086875,Other
9564,NCT04086875,Other
6629,NCT04168450,Other
1593,NCT01492517,Other
1593,NCT01492517,Other
6913,NCT03248583,Other
1593,NCT01492517,Other
7173,NCT02765672,Other
6191,NCT01873573,Other
103,NCT01235260,Other
9560,NCT04088175,Other
1589,NCT02877147,Other
6629,NCT04168450,Other
9560,NCT04088175,Other
104,NCT03390660,Other
9238,NCT04367246,Other
6625,NCT01662973,Other
9560,NCT04088175,Other
6625,NCT01662973,Other
9560,NCT04088175,Other
5769,NCT03266003,Other
1586,NCT03276247,Other
1585,NCT02723617,Other
1585,NCT02723617,Other
1585,NCT02723617,Other
1585,NCT02723617,Other
5769,NCT03266003,Other
9560,NCT04088175,Other
6825,NCT02076308,Other
6825,NCT02076308,Other
9564,NCT04086875,Other
1571,NCT02846116,Other
1570,NCT00485134,Other
6419,NCT02968355,Other
7162,NCT04568330,Other
6935,NCT04522973,Other
6936,NCT03826303,Other
1087,NCT03527654,Other
7162,NCT04568330,Other
7162,NCT04568330,Other
9219,NCT04382391,Other
6936,NCT03826303,Other
9218,NCT04382963,Other
5797,NCT04073901,Other
9218,NCT04382963,Other
9922,NCT03814473,Other
7159,NCT03668678,Other
6936,NCT03826303,Other
6936,NCT03826303,Other
9586,NCT04068883,Other
6941,NCT01707030,Other
9218,NCT04382963,Other
5805,NCT01967654,Other
5805,NCT01967654,Other
5807,NCT04173806,Other
5807,NCT04173806,Other
1093,NCT00063778,Other
6941,NCT01707030,Other
1095,NCT00620867,Other
9918,NCT03818191,Other
5811,NCT03581565,Other
9588,NCT04068649,Other
1096,NCT01982474,Other
1097,NCT03566264,Other
6935,NCT04522973,Other
6935,NCT04522973,Other
8999,NCT04592549,Other
1559,NCT03931395,Other
9000,NCT04591288,Other
6420,NCT02977039,Other
1568,NCT02209259,Other
1568,NCT02209259,Other
1568,NCT02209259,Other
1568,NCT02209259,Other
9581,NCT04073212,Other
119,NCT01150695,Other
9224,NCT04378790,Other
1081,NCT01603550,Other
1568,NCT02209259,Other
1568,NCT02209259,Other
1081,NCT01603550,Other
1566,NCT04098250,Other
9223,NCT04379011,Other
9581,NCT04073212,Other
9581,NCT04073212,Other
1565,NCT04253743,Other
1564,NCT04283344,Other
1563,NCT04316819,Other
6934,NCT01574495,Other
1562,NCT02016482,Other
9000,NCT04591288,Other
6935,NCT04522973,Other
5790,NCT03361384,Other
120,NCT00245076,Other
6709,NCT01672658,Other
9581,NCT04073212,Other
6420,NCT02977039,Other
9560,NCT04088175,Other
1593,NCT01492517,Other
5765,NCT03184025,Other
9548,NCT04092387,Other
1029,NCT03771196,Other
1029,NCT03771196,Other
1031,NCT01823276,Other
1031,NCT01823276,Other
9263,NCT04342728,Other
9261,NCT04344184,Other
9541,NCT04097717,Other
8971,NCT04182334,Other
1034,NCT03719391,Other
9542,NCT04096937,Other
8971,NCT04182334,Other
9259,NCT04344561,Other
1634,NCT02443090,Other
1036,NCT02719964,Other
82,NCT01641029,Other
1036,NCT02719964,Other
1036,NCT02719964,Other
1631,NCT01927276,Other
1631,NCT01927276,Other
9545,NCT04094363,Other
9545,NCT04094363,Other
1630,NCT04407195,Other
9545,NCT04094363,Other
1038,NCT03525184,Other
6193,NCT03482336,Other
9545,NCT04094363,Other
9547,NCT04092777,Other
5734,NCT02739464,Other
1628,NCT00722124,Other
7187,NCT04286243,Other
6212,NCT02481310,Other
1643,NCT02610374,Other
9951,NCT03796286,Other
7190,NCT04166370,Other
7190,NCT04166370,Other
8968,NCT03185546,Other
8968,NCT03185546,Other
9951,NCT03796286,Other
8968,NCT03185546,Other
6832,NCT01426919,Other
6214,NCT03113786,Other
1650,NCT01329679,Other
6214,NCT03113786,Other
7190,NCT04166370,Other
8968,NCT03185546,Other
8968,NCT03185546,Other
9951,NCT03796286,Other
1643,NCT02610374,Other
8969,NCT03370614,Other
7189,NCT04185597,Other
7189,NCT04185597,Other
9527,NCT04110522,Other
1023,NCT02755831,Other
1025,NCT01771575,Other
1646,NCT01596998,Other
1646,NCT01596998,Other
7189,NCT04185597,Other
6829,NCT00751244,Other
5726,NCT00599209,Other
8969,NCT03370614,Other
7187,NCT04286243,Other
5734,NCT02739464,Other
1038,NCT03525184,Other
7174,NCT02877732,Other
6403,NCT03417752,Other
6403,NCT03417752,Other
5747,NCT02188563,Other
8978,NCT04608773,Other
1614,NCT04540081,Other
7175,NCT02764983,Other
7175,NCT02764983,Other
1626,NCT01336361,Other
7174,NCT02877732,Other
9560,NCT04088175,Other
6197,NCT02045784,Other
6407,NCT00108862,Other
1608,NCT03588364,Other
6407,NCT00108862,Other
6635,NCT02963987,Other
9558,NCT04088799,Other
7174,NCT02877732,Other
7174,NCT02877732,Other
9253,NCT04351880,Other
9250,NCT04354454,Other
9250,NCT04354454,Other
9560,NCT04088175,Other
9940,NCT03803553,Other
1601,NCT02323438,Other
6919,NCT02072694,Other
6633,NCT01630980,Other
1601,NCT02323438,Other
1601,NCT02323438,Other
1601,NCT02323438,Other
6632,NCT02387320,Other
6702,NCT02302430,Other
8976,NCT04437069,Other
9948,NCT03797898,Other
5737,NCT00989183,Other
6206,NCT04517396,Other
8976,NCT04437069,Other
6641,NCT02382822,Other
9946,NCT03799640,Other
9247,NCT04355650,Other
6206,NCT04517396,Other
9548,NCT04092387,Other
9946,NCT03799640,Other
9946,NCT03799640,Other
6206,NCT04517396,Other
6918,NCT02079116,Other
91,NCT02109757,Other
6918,NCT02079116,Other
1045,NCT04607356,Other
6201,NCT01055990,Other
9248,NCT04355143,Other
91,NCT02109757,Other
1619,NCT01555554,Other
8985,NCT04604275,Other
6919,NCT02072694,Other
9549,NCT04092101,Other
9549,NCT04092101,Other
9942,NCT03802994,Other
7468,NCT03964792,Genetic
7010,NCT01894230,Genetic
8515,NCT01352286,Genetic
7010,NCT01894230,Genetic
9257,NCT04348708,Genetic
9447,NCT04196374,Genetic
7010,NCT01894230,Genetic
8527,NCT00723203,Genetic
8527,NCT00723203,Genetic
4618,NCT03598660,Genetic
4280,NCT00422448,Genetic
4285,NCT03984227,Genetic
7040,NCT01884545,Genetic
2680,NCT00927862,Genetic
2680,NCT00927862,Genetic
7574,NCT00110526,Genetic
5064,NCT00173537,Genetic
3284,NCT01310179,Genetic
3043,NCT02240407,Genetic
7968,NCT00450281,Genetic
3701,NCT01742117,Genetic
9070,NCT04530500,Genetic
9994,NCT03769116,Genetic
1447,NCT00764322,Genetic
5629,NCT00076557,Genetic
4162,NCT00979238,Genetic
4016,NCT02568618,Genetic
9937,NCT03804021,Genetic
7184,NCT02329639,Genetic
7968,NCT00450281,Genetic
7968,NCT00450281,Genetic
7240,NCT02191267,Genetic
3701,NCT01742117,Genetic
7968,NCT00450281,Genetic
9994,NCT03769116,Genetic
8141,NCT04212351,Genetic
5715,NCT02000739,Genetic
9982,NCT03774654,Genetic
1633,NCT02964481,Genetic
7968,NCT00450281,Genetic
60,NCT03276637,Genetic
2054,NCT01982149,Genetic
5638,NCT02255162,Genetic
5855,NCT03293524,Genetic
6664,NCT03090815,Genetic
2054,NCT01982149,Genetic
2054,NCT01982149,Genetic
8740,NCT01954576,Genetic
8961,NCT03718104,Genetic
2251,NCT00587990,Genetic
5875,NCT03406104,Genetic
6701,NCT02322047,Drug
7768,NCT01597518,Drug
6631,NCT02831257,Drug
6701,NCT02322047,Drug
7936,NCT01011478,Drug
7858,NCT01632241,Drug
7937,NCT00041119,Drug
6408,NCT03516773,Drug
4480,NCT03602118,Drug
4479,NCT03532958,Drug
6701,NCT02322047,Drug
7937,NCT00041119,Drug
4479,NCT03532958,Drug
7761,NCT02870205,Drug
7937,NCT00041119,Drug
6404,NCT01491919,Drug
4477,NCT00716456,Drug
6406,NCT00168090,Drug
4066,NCT00683553,Drug
4066,NCT00683553,Drug
7937,NCT00041119,Drug
4476,NCT00848796,Drug
6408,NCT03516773,Drug
4072,NCT01127282,Drug
4074,NCT01321346,Drug
6702,NCT02302430,Drug
4467,NCT01954290,Drug
4458,NCT00292942,Drug
4458,NCT00292942,Drug
7931,NCT00053898,Drug
4459,NCT00292929,Drug
7774,NCT00727506,Drug
7774,NCT00727506,Drug
7772,NCT02221869,Drug
7771,NCT02336048,Drug
4079,NCT00837434,Drug
7771,NCT02336048,Drug
7771,NCT02336048,Drug
6704,NCT02226367,Drug
7771,NCT02336048,Drug
4467,NCT01954290,Drug
4467,NCT01954290,Drug
4072,NCT01127282,Drug
4470,NCT01166412,Drug
4079,NCT00837434,Drug
7931,NCT00053898,Drug
4470,NCT01166412,Drug
4470,NCT01166412,Drug
4470,NCT01166412,Drug
7932,NCT01316055,Drug
7934,NCT00382070,Drug
4074,NCT01321346,Drug
7761,NCT02870205,Drug
4074,NCT01321346,Drug
4073,NCT00359723,Drug
7769,NCT00876889,Drug
7768,NCT01597518,Drug
6701,NCT02322047,Drug
4061,NCT00835120,Drug
7938,NCT00869206,Drug
6396,NCT02658877,Drug
4492,NCT02140788,Drug
7755,NCT02775929,Drug
6827,NCT01903330,Drug
6827,NCT01903330,Drug
4045,NCT00300287,Drug
6697,NCT03305055,Drug
7943,NCT00087178,Drug
6827,NCT01903330,Drug
7755,NCT02775929,Drug
7754,NCT03255941,Drug
6397,NCT03106116,Drug
6645,NCT02187224,Drug
4043,NCT00554359,Drug
6827,NCT01903330,Drug
4043,NCT00554359,Drug
4492,NCT02140788,Drug
6396,NCT02658877,Drug
6827,NCT01903330,Drug
7754,NCT03255941,Drug
7944,NCT00365105,Drug
6393,NCT02294357,Drug
6393,NCT02294357,Drug
7944,NCT00365105,Drug
6393,NCT02294357,Drug
6645,NCT02187224,Drug
6393,NCT02294357,Drug
6646,NCT00884988,Drug
6393,NCT02294357,Drug
4505,NCT00202878,Drug
7945,NCT01439945,Drug
7943,NCT00087178,Drug
6827,NCT01903330,Drug
4062,NCT02230332,Drug
7941,NCT00110084,Drug
4483,NCT03054103,Drug
4483,NCT03054103,Drug
4483,NCT03054103,Drug
7761,NCT02870205,Drug
7761,NCT02870205,Drug
4062,NCT02230332,Drug
7760,NCT02927249,Drug
6704,NCT02226367,Drug
7940,NCT00058357,Drug
6698,NCT03202303,Drug
4059,NCT01587638,Drug
4059,NCT01587638,Drug
7941,NCT00110084,Drug
4056,NCT01682746,Drug
4054,NCT03196375,Drug
7943,NCT00087178,Drug
6401,NCT00031499,Drug
4054,NCT03196375,Drug
6698,NCT03202303,Drug
4053,NCT00031447,Drug
4053,NCT00031447,Drug
4052,NCT02730819,Drug
7942,NCT00040885,Drug
6401,NCT00031499,Drug
6697,NCT03305055,Drug
7943,NCT00087178,Drug
6401,NCT00031499,Drug
4048,NCT00235729,Drug
4491,NCT01589666,Drug
4048,NCT00235729,Drug
7774,NCT00727506,Drug
7785,NCT04393246,Drug
7776,NCT00208585,Drug
4099,NCT02512926,Drug
4096,NCT00000720,Drug
4437,NCT01877421,Drug
6820,NCT04215445,Drug
6711,NCT01425476,Drug
7925,NCT01107626,Drug
4098,NCT02887183,Drug
4099,NCT02512926,Drug
4100,NCT02616640,Drug
4099,NCT02512926,Drug
7799,NCT04060342,Drug
4100,NCT02616640,Drug
7799,NCT04060342,Drug
4435,NCT02018250,Drug
4435,NCT02018250,Drug
4437,NCT01877421,Drug
4437,NCT01877421,Drug
4096,NCT00000720,Drug
6611,NCT02832401,Drug
4437,NCT01877421,Drug
4437,NCT01877421,Drug
4437,NCT01877421,Drug
6611,NCT02832401,Drug
6612,NCT02144441,Drug
6613,NCT03598816,Drug
6613,NCT03598816,Drug
6821,NCT02222532,Drug
6711,NCT01425476,Drug
7926,NCT00265850,Drug
4092,NCT02807454,Drug
4092,NCT02807454,Drug
4092,NCT02807454,Drug
4434,NCT02067676,Drug
4100,NCT02616640,Drug
4437,NCT01877421,Drug
7917,NCT01483469,Drug
4106,NCT00117689,Drug
4106,NCT00117689,Drug
4106,NCT00117689,Drug
4107,NCT02804750,Drug
7918,NCT01256294,Drug
7917,NCT01483469,Drug
4427,NCT03436160,Drug
7799,NCT04060342,Drug
4427,NCT03436160,Drug
4427,NCT03436160,Drug
7916,NCT01006018,Drug
7916,NCT01006018,Drug
6428,NCT04117607,Drug
6428,NCT04117607,Drug
6426,NCT04306705,Drug
6717,NCT01168687,Drug
6818,NCT04176328,Drug
6424,NCT00021814,Drug
6713,NCT01402817,Drug
7918,NCT01256294,Drug
6608,NCT00202449,Drug
6608,NCT00202449,Drug
6608,NCT00202449,Drug
6711,NCT01425476,Drug
6424,NCT00021814,Drug
6424,NCT00021814,Drug
