NCTId,ArmGroupType
NCT01809639,Placebo Comparator
NCT01927276,Placebo Comparator
NCT02443090,Placebo Comparator
NCT01329679,Placebo Comparator
NCT01363037,Placebo Comparator
NCT00555750,Placebo Comparator
NCT04459455,Placebo Comparator
NCT00973674,Placebo Comparator
NCT02835235,Placebo Comparator
NCT01865123,Placebo Comparator
NCT00822263,Placebo Comparator
NCT02239926,Placebo Comparator
NCT01782898,Placebo Comparator
NCT00936000,Placebo Comparator
NCT02742532,Placebo Comparator
NCT03224416,Placebo Comparator
NCT00384579,Placebo Comparator
NCT00384371,Placebo Comparator
NCT03240068,Placebo Comparator
NCT03340051,Placebo Comparator
NCT03219372,Placebo Comparator
NCT01553318,Placebo Comparator
NCT01450462,Placebo Comparator
NCT02922985,Placebo Comparator
NCT00308620,Placebo Comparator
NCT00943501,Placebo Comparator
NCT00943501,Placebo Comparator
NCT00746109,Placebo Comparator
NCT00323414,Placebo Comparator
NCT00986310,Placebo Comparator
NCT01618162,Placebo Comparator
NCT02384460,Placebo Comparator
NCT03399370,Placebo Comparator
NCT02261974,Placebo Comparator
NCT01775865,Placebo Comparator
NCT01440803,Placebo Comparator
NCT01166386,Placebo Comparator
NCT03671746,Placebo Comparator
NCT03077945,Placebo Comparator
NCT00079820,Placebo Comparator
NCT01661764,Placebo Comparator
NCT01661764,Placebo Comparator
NCT01785615,Placebo Comparator
NCT00287521,Placebo Comparator
NCT04148118,Placebo Comparator
NCT04148118,Placebo Comparator
NCT00440232,Placebo Comparator
NCT02696148,Placebo Comparator
NCT01137669,Placebo Comparator
NCT01153490,Placebo Comparator
NCT03843437,Placebo Comparator
NCT02151877,Placebo Comparator
NCT02307565,Placebo Comparator
NCT00758628,Placebo Comparator
NCT04311294,Placebo Comparator
NCT04417361,Placebo Comparator
NCT00510614,Placebo Comparator
NCT01185041,Placebo Comparator
NCT01097785,Placebo Comparator
NCT02239770,Placebo Comparator
NCT02239770,Placebo Comparator
NCT03058692,Placebo Comparator
NCT00135733,Placebo Comparator
NCT02679794,Placebo Comparator
NCT03308721,Placebo Comparator
NCT03756454,Placebo Comparator
NCT01391858,Placebo Comparator
NCT03976336,Placebo Comparator
NCT01533480,Placebo Comparator
NCT03560271,Placebo Comparator
NCT02146781,Placebo Comparator
NCT02565420,Placebo Comparator
NCT02969369,Placebo Comparator
NCT04598295,Placebo Comparator
NCT00396032,Placebo Comparator
NCT00486902,Placebo Comparator
NCT03860259,Placebo Comparator
NCT02026297,Placebo Comparator
NCT00733096,Placebo Comparator
NCT03781115,Placebo Comparator
NCT03992469,Placebo Comparator
NCT01668667,Placebo Comparator
NCT00260156,Placebo Comparator
NCT01261325,Placebo Comparator
NCT00232115,Placebo Comparator
NCT00684021,Placebo Comparator
NCT00684021,Placebo Comparator
NCT00395876,Placebo Comparator
NCT02824276,Placebo Comparator
NCT01276782,Placebo Comparator
NCT00572039,Placebo Comparator
NCT00493051,Placebo Comparator
NCT00493051,Placebo Comparator
NCT01856907,Placebo Comparator
NCT02739893,Placebo Comparator
NCT01714102,Placebo Comparator
NCT02290106,Placebo Comparator
NCT01620489,Placebo Comparator
NCT00394329,Placebo Comparator
NCT04022434,Placebo Comparator
NCT01917812,Placebo Comparator
NCT03634306,Placebo Comparator
