,NCTId,OverallStatus
313,NCT04073823,Withheld
314,NCT04069585,Withheld
315,NCT04068818,Withheld
316,NCT04065659,Withheld
318,NCT04060524,Withheld
287,NCT04153292,Withheld
319,NCT04057105,Withheld
320,NCT04056494,Withheld
321,NCT04055519,Withheld
322,NCT04055324,Withheld
323,NCT04054401,Withheld
324,NCT04046627,Withheld
325,NCT04043234,Withheld
326,NCT04040933,Withheld
308,NCT04082078,Withheld
307,NCT04083742,Withheld
306,NCT04085328,Withheld
305,NCT04087395,Withheld
288,NCT04152642,Withheld
289,NCT04151992,Withheld
290,NCT04151290,Withheld
291,NCT04141007,Withheld
292,NCT04136158,Withheld
293,NCT04134286,Withheld
294,NCT04130490,Withheld
295,NCT04127188,Withheld
296,NCT04121754,Withheld
297,NCT04119609,Withheld
298,NCT04116879,Withheld
299,NCT04116866,Withheld
300,NCT04112784,Withheld
301,NCT04112628,Withheld
302,NCT04112134,Withheld
303,NCT04106934,Withheld
304,NCT04096495,Withheld
243,NCT04287036,Withheld
242,NCT04295499,Withheld
241,NCT04296773,Withheld
187,NCT04532099,Withheld
179,NCT04547920,Withheld
180,NCT04547712,Withheld
181,NCT04544670,Withheld
182,NCT04542525,Withheld
183,NCT04540913,Withheld
184,NCT04537013,Withheld
185,NCT04536168,Withheld
186,NCT04534764,Withheld
188,NCT04529616,Withheld
198,NCT04499521,Withheld
189,NCT04529109,Withheld
190,NCT04524247,Withheld
191,NCT04523545,Withheld
192,NCT04513574,Withheld
193,NCT04510857,Withheld
194,NCT04508335,Withheld
195,NCT04502758,Withheld
196,NCT04501146,Withheld
178,NCT04556474,Withheld
177,NCT04556968,Withheld
176,NCT04557891,Withheld
175,NCT04557917,Withheld
158,NCT04601103,Withheld
159,NCT04600856,Withheld
160,NCT04599907,Withheld
161,NCT04593875,Withheld
162,NCT04589507,Withheld
163,NCT04586205,Withheld
164,NCT04585646,Withheld
165,NCT04584788,Withheld
166,NCT04584099,Withheld
167,NCT04577898,Withheld
168,NCT04577456,Withheld
169,NCT04569253,Withheld
170,NCT04567186,Withheld
171,NCT04562532,Withheld
172,NCT04558970,Withheld
173,NCT04558632,Withheld
174,NCT04558047,Withheld
197,NCT04500821,Withheld
199,NCT04496752,Withheld
240,NCT04298359,Withheld
230,NCT04314947,Withheld
222,NCT04338971,Withheld
223,NCT04335981,Withheld
224,NCT04332640,Withheld
225,NCT04330001,Withheld
226,NCT04324593,Withheld
227,NCT04320823,Withheld
228,NCT04319887,Withheld
498,NCT03172949,Withheld
231,NCT04314700,Withheld
200,NCT04493021,Withheld
232,NCT04313725,Withheld
233,NCT04310566,Withheld
234,NCT04307446,Withheld
235,NCT04306744,Withheld
236,NCT04305119,Withheld
237,NCT04303273,Withheld
238,NCT04299386,Withheld
239,NCT04299009,Withheld
221,NCT04377438,Withheld
220,NCT04378764,Withheld
219,NCT04386785,Withheld
218,NCT04388722,Withheld
201,NCT04488666,Withheld
202,NCT04483791,Withheld
203,NCT04476784,Withheld
204,NCT04474054,Withheld
205,NCT04469218,Withheld
206,NCT04466930,Withheld
207,NCT04455997,Withheld
208,NCT04455854,Withheld
209,NCT04450108,Withheld
210,NCT04437615,Withheld
211,NCT04422990,Withheld
212,NCT04419714,Withheld
213,NCT04409158,Withheld
214,NCT04403542,Withheld
215,NCT04400643,Withheld
216,NCT04394546,Withheld
217,NCT04388787,Withheld
327,NCT04036747,Withheld
229,NCT04318132,Withheld
329,NCT04033315,Withheld
445,NCT03482297,Withheld
437,NCT03525704,Withheld
438,NCT03523208,Withheld
439,NCT03508778,Withheld
440,NCT03502200,Withheld
441,NCT03500341,Withheld
442,NCT03497910,Withheld
443,NCT03488849,Withheld
444,NCT03488238,Withheld
446,NCT03477370,Withheld
456,NCT03435224,Withheld
447,NCT03467204,Withheld
448,NCT03465514,Withheld
449,NCT03462576,Withheld
450,NCT03451786,Withheld
451,NCT03442842,Withheld
452,NCT03441971,Withheld
453,NCT03441880,Withheld
454,NCT03441477,Withheld
436,NCT03538561,Withheld
435,NCT03540576,Withheld
434,NCT03550807,Withheld
433,NCT03560141,Withheld
416,NCT03631550,Withheld
417,NCT03628898,Withheld
418,NCT03617822,Withheld
419,NCT03614130,Withheld
420,NCT03613363,Withheld
421,NCT03611101,Withheld
422,NCT03604900,Withheld
423,NCT03604562,Withheld
424,NCT03604432,Withheld
425,NCT03601182,Withheld
426,NCT03600194,Withheld
427,NCT03599271,Withheld
428,NCT03589911,Withheld
429,NCT03586167,Withheld
430,NCT03578302,Withheld
431,NCT03574259,Withheld
432,NCT03564366,Withheld
455,NCT03439189,Withheld
457,NCT03435211,Withheld
414,NCT03642431,Withheld
489,NCT03236519,Withheld
481,NCT03268356,Withheld
482,NCT03268265,Withheld
483,NCT03267134,Withheld
484,NCT03257410,Withheld
485,NCT03251079,Withheld
486,NCT03246503,Withheld
487,NCT03242148,Withheld
488,NCT03239574,Withheld
490,NCT03235791,Withheld
458,NCT03431883,Withheld
491,NCT03233945,Withheld
492,NCT03230877,Withheld
493,NCT03230747,Withheld
494,NCT03219567,Withheld
495,NCT03198988,Withheld
496,NCT03190564,Withheld
497,NCT03182660,Withheld
330,NCT04032977,Withheld
480,NCT03269097,Withheld
479,NCT03272308,Withheld
478,NCT03275532,Withheld
477,NCT03299933,Withheld
459,NCT03423251,Withheld
460,NCT03421145,Withheld
461,NCT03418545,Withheld
463,NCT03388138,Withheld
464,NCT03384381,Withheld
465,NCT03372434,Withheld
466,NCT03372343,Withheld
467,NCT03371160,Withheld
468,NCT03366194,Withheld
469,NCT03351192,Withheld
470,NCT03345121,Withheld
471,NCT03345017,Withheld
472,NCT03339388,Withheld
473,NCT03336944,Withheld
474,NCT03329794,Withheld
475,NCT03323515,Withheld
476,NCT03315117,Withheld
415,NCT03641937,Withheld
462,NCT03408444,Withheld
413,NCT03663010,Withheld
360,NCT03918928,Withheld
352,NCT03944629,Withheld
353,NCT03942016,Withheld
354,NCT03941912,Withheld
355,NCT03934463,Withheld
356,NCT03934125,Withheld
357,NCT03931213,Withheld
358,NCT03925545,Withheld
359,NCT03920280,Withheld
361,NCT03912584,Withheld
371,NCT03864848,Withheld
362,NCT03911700,Withheld
363,NCT03898778,Withheld
364,NCT03897751,Withheld
365,NCT03897712,Withheld
366,NCT03895034,Withheld
367,NCT03888352,Withheld
368,NCT03872609,Withheld
369,NCT03872466,Withheld
351,NCT03949335,Withheld
349,NCT03953274,Withheld
348,NCT03964831,Withheld
347,NCT03967184,Withheld
331,NCT04031989,Withheld
412,NCT03670277,Withheld
332,NCT04031976,Withheld
333,NCT04030702,Withheld
334,NCT04011826,Withheld
335,NCT04008836,Withheld
336,NCT04005586,Withheld
337,NCT04003831,Withheld
338,NCT03999944,Withheld
339,NCT03997357,Withheld
340,NCT03996187,Withheld
341,NCT03995355,Withheld
342,NCT03992768,Withheld
343,NCT03991468,Withheld
344,NCT03972995,Withheld
345,NCT03971721,Withheld
346,NCT03969875,Withheld
370,NCT03871179,Withheld
350,NCT03950895,Withheld
372,NCT03864081,Withheld
403,NCT03700047,Withheld
394,NCT03730480,Withheld
395,NCT03729024,Withheld
396,NCT03728309,Withheld
397,NCT03716492,Withheld
398,NCT03713281,Withheld
399,NCT03708393,Withheld
401,NCT03704636,Withheld
402,NCT03700372,Withheld
404,NCT03696316,Withheld
392,NCT03748264,Withheld
