,NCTId,InterventionBrowseBranchAbbrev
7189,NCT04185597,Vi
5525,NCT01443728,Vi
4550,NCT01669915,Vi
3973,NCT00249782,Vi
4554,NCT01684722,Vi
1262,NCT00002102,Vi
7142,NCT01046825,Vi
5728,NCT03775096,Vi
2803,NCT01570309,Vi
3207,NCT00065455,Vi
5568,NCT01992874,Vi
7229,NCT04330326,Vi
8213,NCT01880372,Vi
1008,NCT00350077,Vi
6186,NCT00921557,Vi
8765,NCT00280748,Vi
7896,NCT03124277,Vi
8470,NCT00731588,Vi
9310,NCT04305743,VaDiAg
3141,NCT00585013,VaDiAg
9357,NCT04264897,VaDiAg
8408,NCT01324999,VaDiAg
2191,NCT00452582,VaDiAg
7948,NCT01009918,VaDiAg
5475,NCT02045459,VaDiAg
2375,NCT01652573,VaDiAg
2746,NCT01334554,VaDiAg
4725,NCT00062556,VaDiAg
2897,NCT04434664,VaDiAg
5962,NCT00902603,VaDiAg
3551,NCT01212978,VaDiAg
3870,NCT01486264,VaDiAg
4361,NCT00522041,VaDiAg
7804,NCT00860470,VaDiAg
2035,NCT03978234,VaDiAg
7074,NCT03866837,VaDiAg
9983,NCT03773666,VaDiAg
1068,NCT04075578,VaDiAg
8652,NCT04305457,VaDiAg
7443,NCT00675714,VaDiAg
4861,NCT03083431,VaDiAg
1641,NCT00585104,VaDiAg
1704,NCT00384371,VaDiAg
3128,NCT00425880,VaDiAg
2338,NCT03240068,VaDiAg
1737,NCT01262339,VaDiAg
6148,NCT00760708,VaDiAg
6007,NCT03686813,VaDiAg
4321,NCT01138254,VaDiAg
4942,NCT02165644,VaDiAg
3908,NCT00880178,VaDiAg
2537,NCT04433546,VaDiAg
6147,NCT00763009,VaDiAg
4662,NCT01427400,VaDiAg
2599,NCT03028298,VaDiAg
8744,NCT01566890,VaDiAg
9337,NCT04283630,VaDiAg
1566,NCT04098250,VaDiAg
5453,NCT00662051,VaDiAg
1619,NCT01555554,VaDiAg
4736,NCT04431661,VaDiAg
7988,NCT01980979,VaDiAg
5189,NCT02979197,VaDiAg
1263,NCT00143221,VaDiAg
9510,NCT04124939,VaDiAg
2454,NCT03333109,VaDiAg
2471,NCT00590161,VaDiAg
