,NCTId,InterventionBrowseBranchAbbrev
9013,NCT04580524,CNSDep
8729,NCT04542642,CNSDep
1620,NCT01725087,CNSDep
7276,NCT03416348,CNSDep
4519,NCT04247646,CNSDep
9171,NCT04433975,CNSDep
5307,NCT04570293,CNSDep
7292,NCT01529034,CNSDep
8115,NCT04441307,CNSDep
9380,NCT04246996,CNSDep
8961,NCT03718104,CNSDep
4503,NCT04579601,CNSDep
1727,NCT00124696,CNSDep
4672,NCT00486811,CNSDep
8117,NCT03730259,CNSDep
4523,NCT03897764,CNSDep
8145,NCT01141049,CNSDep
7274,NCT01052103,CNSDep
6421,NCT04408105,CNSDep
6412,NCT03783702,CNSDep
4483,NCT03054103,CNSDep
5474,NCT04564599,CNSDep
5276,NCT00124358,CNSDep
6455,NCT04219540,CNSDep
6562,NCT04562779,CNSDep
4472,NCT04211077,CNSDep
7091,NCT04531592,CNSDep
5417,NCT03431831,CNSDep
1700,NCT03224416,CNSDep
7349,NCT00639795,CNSDep
1633,NCT02964481,CNSDep
5272,NCT02343263,CNSDep
9374,NCT04253782,CNSDep
5414,NCT02157597,CNSDep
8157,NCT03353922,CNSDep
8955,NCT02290223,CNSDep
5267,NCT02990377,CNSDep
7247,NCT01749215,CNSDep
3398,NCT03974061,CNSDep
9604,NCT04054687,CNSDep
2523,NCT00499746,CNSDep
1590,NCT04419883,CNSDep
7095,NCT03077126,CNSDep
7337,NCT00947596,CNSDep
2536,NCT00010816,CNSDep
9401,NCT04233671,CNSDep
7102,NCT02447848,CNSDep
8105,NCT02088177,CNSDep
5283,NCT03161795,CNSDep
4481,NCT02670850,CNSDep
4480,NCT03602118,CNSDep
9549,NCT04092101,CNSDep
4528,NCT04607642,CNSDep
3171,NCT00654615,CNSDep
9176,NCT04427202,CNSDep
9591,NCT04060849,CNSDep
4651,NCT03486093,CNSDep
4654,NCT04516824,CNSDep
8958,NCT03410823,CNSDep
7096,NCT01079247,CNSDep
3203,NCT01968785,CNSDep
2530,NCT02464410,CNSDep
2569,NCT02787928,CNSDep
4652,NCT04198974,CNSDep
9508,NCT04125420,CNSDep
5604,NCT00401414,CNSDep
1076,NCT04468360,CNSDep
1619,NCT01555554,CNSDep
7456,NCT04360681,CNSDep
5358,NCT04236804,CNSDep
6305,NCT03494738,CNSDep
5375,NCT02771925,CNSDep
3485,NCT02880540,CNSDep
8978,NCT04608773,CNSDep
4578,NCT03176420,CNSDep
4358,NCT00534378,CNSDep
9727,NCT03962725,CNSDep
1809,NCT03570320,CNSDep
1847,NCT00967915,CNSDep
1845,NCT01099605,CNSDep
6308,NCT04225598,CNSDep
8067,NCT04332172,CNSDep
1658,NCT02550886,CNSDep
4356,NCT01236287,CNSDep
4388,NCT00221416,CNSDep
2615,NCT03689530,CNSDep
6348,NCT04603911,CNSDep
4626,NCT03709888,CNSDep
1549,NCT02617940,CNSDep
1046,NCT02419443,CNSDep
1805,NCT00591448,CNSDep
1028,NCT00809627,CNSDep
1849,NCT00573599,CNSDep
9687,NCT03995979,CNSDep
8131,NCT00481182,CNSDep
5542,NCT02346162,CNSDep
1042,NCT02373189,CNSDep
3482,NCT01636999,CNSDep
1188,NCT01333488,CNSDep
6488,NCT04365270,CNSDep
2603,NCT02027324,CNSDep
5334,NCT03646084,CNSDep
5376,NCT02452853,CNSDep
6489,NCT02294318,CNSDep
1034,NCT03719391,CNSDep
8932,NCT03951064,CNSDep
5543,NCT02789176,CNSDep
6339,NCT03831321,CNSDep
5227,NCT01968694,CNSDep
7182,NCT02845349,CNSDep
5567,NCT02907983,CNSDep
9118,NCT04486313,CNSDep
2461,NCT02288702,CNSDep
2455,NCT04233164,CNSDep
9153,NCT04459416,CNSDep
8283,NCT00783172,CNSDep
6522,NCT04032158,CNSDep
2611,NCT02311777,CNSDep
6614,NCT02693444,CNSDep
6520,NCT03867812,CNSDep
8928,NCT00555425,CNSDep
8496,NCT02508935,CNSDep
7212,NCT01756469,CNSDep
8325,NCT00760474,CNSDep
8547,NCT01588457,CNSDep
5571,NCT02360007,CNSDep
9712,NCT03976258,CNSDep
1665,NCT00555750,CNSDep
8502,NCT01174290,CNSDep
5555,NCT01211418,CNSDep
7457,NCT02791945,CNSDep
2608,NCT00352651,CNSDep
2467,NCT03426137,CNSDep
8078,NCT01389544,CNSDep
9421,NCT04219397,CNSDep
7463,NCT02320903,CNSDep
1068,NCT04075578,CNSDep
6605,NCT00795678,CNSDep
4343,NCT03309163,CNSDep
9350,NCT04270682,CNSDep
3283,NCT01751620,CNSDep
5582,NCT02364518,CNSDep
8756,NCT02487485,CNSDep
3117,NCT02241824,CNSDep
1815,NCT00127699,CNSDep
7180,NCT02386878,CNSDep
2479,NCT02941809,CNSDep
7052,NCT01517711,CNSDep
4764,NCT01843751,CNSDep
3253,NCT03671746,CNSDep
8545,NCT04580810,CNSDep
2439,NCT02517996,CNSDep
4597,NCT03655587,CNSDep
5240,NCT00948597,CNSDep
7426,NCT02467933,CNSDep
3457,NCT03282669,CNSDep
4376,NCT03360422,CNSDep
9732,NCT03956797,CNSDep
2717,NCT03127358,CNSDep
6597,NCT04531579,CNSDep
6360,NCT03255681,CNSDep
5527,NCT04592978,CNSDep
9667,NCT04007666,CNSDep
1642,NCT01640171,CNSDep
7430,NCT02630225,CNSDep
3108,NCT03920670,CNSDep
1553,NCT02228967,CNSDep
8752,NCT02819141,CNSDep
1053,NCT02420041,CNSDep
5597,NCT03071744,CNSDep
9737,NCT03951883,CNSDep
1789,NCT01932996,CNSDep
7171,NCT02195427,CNSDep
3228,NCT03670914,CNSDep
8083,NCT00395499,CNSDep
4566,NCT02379221,CNSDep
5341,NCT03122301,CNSDep
9657,NCT04017312,CNSDep
7059,NCT01128140,CNSDep
4383,NCT01223313,CNSDep
9359,NCT04263259,CNSDep
2432,NCT04122378,CNSDep
8702,NCT00938964,CNSDep
6288,NCT00518713,CNSDep
1856,NCT00037219,CNSDep
5332,NCT01894451,CNSDep
9521,NCT04116112,CNSDep
8935,NCT03635905,CNSDep
8766,NCT04034004,CNSDep
9193,NCT04407377,CNSDep
4631,NCT01700517,CNSDep
2744,NCT03837860,CNSDep
8933,NCT02217007,CNSDep
4593,NCT02657317,CNSDep
1070,NCT02813356,CNSDep
5535,NCT01466088,CNSDep
4630,NCT00750685,CNSDep
6602,NCT01480804,CNSDep
2441,NCT01416766,CNSDep
8571,NCT03001024,CNSDep
3299,NCT03889418,CNSDep
4740,NCT01766960,CNSDep
9670,NCT04003987,CNSDep
2617,NCT02932579,CNSDep
7057,NCT01243060,CNSDep
2723,NCT03822182,CNSDep
1552,NCT02911285,CNSDep
8134,NCT00000273,CNSDep
6353,NCT00482612,CNSDep
4312,NCT03430973,CNSDep
3298,NCT00813605,CNSDep
6524,NCT01969903,CNSDep
5788,NCT04603794,BlSubst
4386,NCT03185871,BlSubst
9146,NCT04466098,BlSubst
9357,NCT04264897,BlSubst
1283,NCT02223338,BlSubst
3821,NCT00796419,BlSubst
2911,NCT03438227,BlSubst
8867,NCT03095391,BlSubst
1898,NCT01881503,BlSubst
7353,NCT03385304,BlSubst
2603,NCT02027324,BlSubst
5680,NCT03350217,BlSubst
3756,NCT01404910,BlSubst
4702,NCT02045290,BlSubst
6849,NCT02863809,BlSubst
4834,NCT01881828,BlSubst
4583,NCT01696435,BDCA
3893,NCT04589819,BDCA
3864,NCT03924414,BDCA
2979,NCT03710161,BDCA
3200,NCT03972774,BDCA
3907,NCT02188953,BDCA
6526,NCT03069144,BDCA
4613,NCT01409681,BDCA
2559,NCT00729690,BDCA
4586,NCT01728571,BDCA
140,NCT01370954,BDCA
7963,NCT00874211,BDCA
7965,NCT02865187,BDCA
1046,NCT02419443,BDCA
1398,NCT00412087,BDCA
9152,NCT04460872,BDCA
8547,NCT01588457,BDCA
2611,NCT02311777,BDCA
4584,NCT01704859,BDCA
5945,NCT03685058,BDCA
6075,NCT01847469,BDCA
4925,NCT01846182,BDCA
7967,NCT01124695,BDCA
5444,NCT00473239,BDCA
6005,NCT03719495,BDCA
4532,NCT04386577,BDCA
5903,NCT02325414,BDCA
2211,NCT02934191,BDCA
7938,NCT00869206,BDCA
3793,NCT00028353,BDCA
4550,NCT01669915,BDCA
2861,NCT04570475,BDCA
5879,NCT03486561,BDCA
3828,NCT00002120,BDCA
7936,NCT01011478,BDCA
1436,NCT01465503,BDCA
4554,NCT01684722,BDCA
7934,NCT00382070,BDCA
4642,NCT01084239,BDCA
9462,NCT04179474,BDCA
4559,NCT01747447,BDCA
1011,NCT03293901,BDCA
6525,NCT03848806,BDCA
7914,NCT00223509,BDCA
7166,NCT03865680,BDCA
1307,NCT01632761,BDCA
4956,NCT01762995,BDCA
7931,NCT00053898,BDCA
3310,NCT01391858,BDCA
3300,NCT00754390,BDCA
4560,NCT01653678,BDCA
3223,NCT01440803,BDCA
4957,NCT02178410,BDCA
9521,NCT04116112,BDCA
2599,NCT03028298,BDCA
6834,NCT03417388,BDCA
4637,NCT01630213,BDCA
7896,NCT03124277,BDCA
3211,NCT03615950,BDCA
3343,NCT00620763,BDCA
1379,NCT00907972,BDCA
6067,NCT02025179,BDCA
3342,NCT00700804,BDCA
6449,NCT04070833,BDCA
2897,NCT04434664,BDCA
7956,NCT01099449,BDCA
5419,NCT01647399,BDCA
4582,NCT02239874,BDCA
2608,NCT00352651,BDCA
1447,NCT00764322,BDCA
8402,NCT03461783,BDCA
4938,NCT01785004,BDCA
2920,NCT00169754,BDCA
4540,NCT01758081,BDCA
1442,NCT01613001,BDCA
3844,NCT00324571,BDCA
8129,NCT00537043,BDCA
9538,NCT04103385,BDCA
3782,NCT03969329,BDCA
7948,NCT01009918,BDCA
2060,NCT03982602,BDCA
4942,NCT02165644,BDCA
4542,NCT00333229,BDCA
4579,NCT01782352,BDCA
5917,NCT01205646,BDCA
3784,NCT01713777,BDCA
8612,NCT01502761,BDCA
7944,NCT00365105,BDCA
2178,NCT01696409,BDCA
4626,NCT03709888,BDCA
8292,NCT01709110,BDCA
6711,NCT01425476,BDCA
6789,NCT00476346,BDCA
5150,NCT02172040,BDCA
9025,NCT04569747,BDCA
7009,NCT03403166,BDCA
1260,NCT00002317,BDCA
2454,NCT03333109,BDCA
5248,NCT01889446,BDCA
5499,NCT01677195,BDCA
1566,NCT04098250,BDCA
1259,NCT00002434,BDCA
4416,NCT01321281,BDCA
4508,NCT01169259,BDCA
5728,NCT03775096,BDCA
6319,NCT00671944,BDCA
9110,NCT04495283,BDCA
3643,NCT00936897,BDCA
9862,NCT03861091,BDCA
9419,NCT04221594,BDCA
5160,NCT01351805,BDCA
2501,NCT03012555,BDCA
8588,NCT02360644,BDCA
2792,NCT02956408,BDCA
6188,NCT00962637,BDCA
3026,NCT00183963,BDCA
4147,NCT02923193,BDCA
6155,NCT00656019,BDCA
6914,NCT04606342,BDCA
6580,NCT00157586,BDCA
3098,NCT01475617,BDCA
2702,NCT01217840,BDCA
1262,NCT00002102,BDCA
2803,NCT01570309,BDCA
1261,NCT00002103,BDCA
9034,NCT04564443,BDCA
2510,NCT01744821,BDCA
1976,NCT04279392,BDCA
2315,NCT02781844,BDCA
6674,NCT02435459,BDCA
5218,NCT02138838,BDCA
7074,NCT03866837,BDCA
6186,NCT00921557,BDCA
8325,NCT00760474,BDCA
5249,NCT00473317,BDCA
7706,NCT01746264,BDCA
1956,NCT00668941,BDCA
4178,NCT04536298,BDCA
8483,NCT04232657,BDCA
8023,NCT00742781,BDCA
4236,NCT00332709,BDCA
7449,NCT02878382,BDCA
3070,NCT02679794,BDCA
8574,NCT03483441,BDCA
7647,NCT00785577,BDCA
7005,NCT03532139,BDCA
3074,NCT01167920,BDCA
8334,NCT04060030,BDCA
1168,NCT02032459,BDCA
2375,NCT01652573,BDCA
8176,NCT01814501,BDCA
9151,NCT04461795,BDCA
1226,NCT00713739,BDCA
2379,NCT03623633,BDCA
3087,NCT01665677,BDCA
5189,NCT02979197,BDCA
4801,NCT02350231,BDCA
7443,NCT00675714,BDCA
4228,NCT02755818,BDCA
3122,NCT01450462,BDCA
8933,NCT02217007,BDCA
4179,NCT00959764,BDCA
7413,NCT04060017,BDCA
9326,NCT04294043,BDCA
3093,NCT01295879,BDCA
4189,NCT00101790,BDCA
7417,NCT01426555,BDCA
7421,NCT01444612,BDCA
8477,NCT00788632,BDCA
9212,NCT04388319,BDCA
5525,NCT01443728,BDCA
6360,NCT03255681,BDCA
7678,NCT01968590,BDCA
7675,NCT00731887,BDCA
4375,NCT01244204,BDCA
3065,NCT03467789,BDCA
6357,NCT01880463,BDCA
6230,NCT00321932,BDCA
9423,NCT04218799,BDCA
7475,NCT01304407,BDCA
2421,NCT02265250,BDCA
8894,NCT02754687,BDCA
8958,NCT03410823,BDCA
6408,NCT03516773,BDCA
1875,NCT00142636,BDCA
2987,NCT04417361,BDCA
2418,NCT02435771,BDCA
7804,NCT00860470,BDCA
4897,NCT02414529,BDCA
9466,NCT04174352,BDCA
1605,NCT02142712,BDCA
1188,NCT01333488,BDCA
6895,NCT01257581,BDCA
5106,NCT00699777,BDCA
8600,NCT00873366,BDCA
8272,NCT00874575,BDCA
2532,NCT01858051,BDCA
1461,NCT02009930,BDCA
4476,NCT00848796,BDCA
3367,NCT00811057,BDCA
2010,NCT00282126,BDCA
3526,NCT04075162,BDCA
2446,NCT00115830,BDCA
1855,NCT01617109,BDCA
7114,NCT02905981,BDCA
4677,NCT02232269,BDCA
4766,NCT02972138,BDCA
7330,NCT00204477,BDCA
8735,NCT01678079,BDCA
3711,NCT01733394,BDCA
8959,NCT03436953,BDCA
6554,NCT00710957,BDCA
6138,NCT00904423,BDCA
2814,NCT00531518,BDCA
2033,NCT01511640,BDCA
4062,NCT02230332,BDCA
5837,NCT01601847,BDCA
9563,NCT04087096,BDCA
5630,NCT01410084,BDCA
7786,NCT02066441,BDCA
2417,NCT01049048,BDCA
1274,NCT02636348,BDCA
3737,NCT01488227,BDCA
7018,NCT01992263,BDCA
8327,NCT04369742,BDCA
4888,NCT01633177,BDCA
5215,NCT00686426,BDCA
4059,NCT01587638,BDCA
3401,NCT00646451,BDCA
8520,NCT04258332,BDCA
8691,NCT00118157,BDCA
1112,NCT02375503,BDCA
2032,NCT01354613,BDCA
4906,NCT00940784,Antipy
2364,NCT03020875,Antipy
1799,NCT00995410,Antipy
8526,NCT00587496,Antipy
3529,NCT01588158,Antipy
7290,NCT03079999,Antipy
8856,NCT03905720,Antipy
1544,NCT04382625,Antipy
4253,NCT00576693,Antipy
142,NCT02252159,Antipy
7007,NCT03321292,Antipy
1917,NCT03385057,Antipy
8082,NCT00397735,Antipy
5233,NCT01520298,Antipy
7437,NCT00823212,Antipy
4816,NCT03794882,Antipy
1104,NCT00000157,Antipy
5645,NCT02655458,Antipy
1809,NCT03570320,Antipy
4361,NCT00522041,Antipy
7595,NCT04545424,Antipy
8914,NCT02341638,Antipy
4072,NCT01127282,Antipy
2844,NCT02296840,Antipy
9846,NCT03867539,Antipy
4359,NCT00697151,Antipy
8699,NCT02746263,Antipy
2018,NCT01011634,Antipy
6541,NCT01420016,Antipy
1559,NCT03931395,Antipy
2211,NCT02934191,Antipy
3391,NCT04070573,Antipy
5882,NCT01513668,Antipy
2857,NCT01231165,Antipy
2617,NCT02932579,Antipy
5730,NCT03080493,Antipy
6472,NCT00000152,Antipy
7990,NCT00122447,Antipy
8496,NCT02508935,Antipy
6926,NCT01510327,Antipy
3043,NCT02240407,Antipy
2692,NCT02443142,Antipy
6200,NCT02666742,Antipy
3693,NCT03218787,Antipy
9110,NCT04495283,Antipy
5263,NCT04555239,Antipy
2514,NCT00636454,Antipy
7559,NCT01605903,Antipy
2216,NCT04031729,Antipy
7760,NCT02927249,Antipy
7771,NCT02336048,Antipy
5860,NCT00005493,Antipy
9910,NCT03822962,Antipy
3428,NCT01852955,Antipy
6377,NCT01523080,Antipy
3136,NCT02922985,Antipy
4180,NCT03008837,Antipy
4032,NCT00664040,Antipy
1065,NCT01589978,Antipy
2645,NCT01228214,Antipy
4825,NCT04588727,Antipy
7027,NCT01500434,Antipy
5242,NCT02540512,Antipy
6860,NCT02792114,Antipy
4640,NCT01511939,Antipy
9650,NCT04020822,Antipy
5322,NCT03152409,Antipy
4931,NCT04158830,Antipy
6412,NCT03783702,Antipy
1452,NCT00997503,Antipy
2442,NCT00004727,Antipy
3048,NCT00986648,Antipy
8881,NCT03241732,Antipy
6834,NCT03417388,Antipy
8575,NCT02461706,AntiConv
8415,NCT03806751,AntiConv
8232,NCT01811940,AntiConv
6285,NCT00162981,AntiConv
6288,NCT00518713,AntiConv
8325,NCT00760474,AntiConv
5195,NCT01387178,AntiConv
7956,NCT01099449,AntiConv
5024,NCT00430196,AntiConv
8547,NCT01588457,AntiConv
4328,NCT03172741,AntiConv
8689,NCT02520115,AntiConv
6999,NCT02155829,AntiConv
4808,NCT00279617,AntiConv
7246,NCT01750268,AntiConv
5262,NCT00361010,AntiConv
4942,NCT02165644,AntiConv
4012,NCT01390909,AntiConv
7091,NCT04531592,AntiConv
7247,NCT01749215,AntiConv
8143,NCT03246113,AntiConv
8607,NCT00228046,AntiConv
4535,NCT03660917,AntiConv
8145,NCT01141049,AntiConv
5849,NCT02297126,AntiConv
7986,NCT00748098,AntiConv
7809,NCT01495923,AntiConv
4480,NCT03602118,AntiConv
5801,NCT01073579,AntiConv
4925,NCT01846182,AntiConv
6881,NCT04360044,AntiConv
6075,NCT01847469,AntiConv
6717,NCT01168687,AntiConv
6719,NCT01087736,AntiConv
6082,NCT01760785,AntiConv
7769,NCT00876889,AntiConv
7076,NCT00635960,AntiConv
7768,NCT01597518,AntiConv
6597,NCT04531579,AntiConv
4626,NCT03709888,AntiConv
6814,NCT03939507,AntiConv
5375,NCT02771925,AntiConv
5543,NCT02789176,AntiConv
6974,NCT00621751,AntiConv
7647,NCT00785577,AntiConv
7179,NCT00162461,AntiConv
5907,NCT01928849,AntiConv
8612,NCT01502761,AntiConv
6596,NCT01381406,AntiConv
5741,NCT01014533,AntiConv
5523,NCT03478852,AntiConv
7062,NCT00862095,AntiConv
4954,NCT02299115,AntiConv
7914,NCT00223509,AntiConv
4420,NCT04314713,AntiConv
7976,NCT00880191,AntiConv
6745,NCT01233609,AntiConv
5730,NCT03080493,AntiConv
5138,NCT04287361,AntiConv
5605,NCT02759185,AntiConv
5232,NCT00187928,AntiConv
7972,NCT00087399,AntiConv
3711,NCT01733394,AntiConv
3664,NCT01261325,AntiConv
2108,NCT01403428,AntiConv
9301,NCT04315558,AntiConv
2033,NCT01511640,AntiConv
2018,NCT01011634,AntiConv
1966,NCT00278772,AntiConv
3695,NCT03107468,AntiConv
1605,NCT02142712,AntiConv
9927,NCT03811444,AntiConv
1462,NCT01917643,AntiConv
1264,NCT03525561,AntiConv
1188,NCT01333488,AntiConv
3784,NCT01713777,AntiConv
1156,NCT00154362,AntiConv
1139,NCT00154323,AntiConv
1046,NCT02419443,AntiConv
2149,NCT00751179,AntiConv
3656,NCT01668667,AntiConv
2325,NCT00127257,AntiConv
9223,NCT04379011,AntiConv
3401,NCT00646451,AntiConv
3367,NCT00811057,AntiConv
3347,NCT00345475,AntiConv
8935,NCT03635905,AntiConv
3310,NCT01391858,AntiConv
8974,NCT02002819,AntiConv
9010,NCT04581603,AntiConv
2814,NCT00531518,AntiConv
9110,NCT04495283,AntiConv
8919,NCT00595231,AntiConv
2611,NCT02311777,AntiConv
2608,NCT00352651,AntiConv
2559,NCT00729690,AntiConv
2420,NCT00123578,AntiConv
9212,NCT04388319,AntiConv
1034,NCT03719391,AntiConv
3445,NCT01764685,AntiConv
7850,NCT01421303,Analg
3633,NCT03830307,Analg
8454,NCT01001429,Analg
2294,NCT01431742,Analg
5741,NCT01014533,Analg
2312,NCT02069379,Analg
2314,NCT04250077,Analg
3634,NCT03555266,Analg
5730,NCT03080493,Analg
2317,NCT04450316,Analg
9237,NCT04368364,Analg
8441,NCT00621530,Analg
4180,NCT03008837,Analg
5716,NCT02352116,Analg
5713,NCT03834025,Analg
2355,NCT01854229,Analg
2357,NCT03678870,Analg
2364,NCT03020875,Analg
5673,NCT04296942,Analg
3628,NCT00733096,Analg
2278,NCT04587115,Analg
4175,NCT02655354,Analg
9269,NCT04340622,Analg
8427,NCT01280591,Analg
8425,NCT01495858,Analg
5882,NCT01513668,Analg
9266,NCT04341727,Analg
2210,NCT03168425,Analg
5871,NCT03250338,Analg
2211,NCT02934191,Analg
4165,NCT01928953,Analg
3650,NCT03739021,Analg
5866,NCT00004025,Analg
2259,NCT01857245,Analg
5860,NCT00005493,Analg
2216,NCT04031729,Analg
2225,NCT03236155,Analg
2229,NCT03532256,Analg
5849,NCT02297126,Analg
2237,NCT03306147,Analg
9260,NCT04344457,Analg
5836,NCT02081391,Analg
2368,NCT02221726,Analg
5667,NCT02836288,Analg
2380,NCT01333917,Analg
2530,NCT02464410,Analg
5527,NCT04592978,Analg
2497,NCT03195205,Analg
2499,NCT04063670,Analg
8508,NCT01182727,Analg
2509,NCT01329406,Analg
4222,NCT01074151,Analg
2514,NCT00636454,Analg
2523,NCT00499746,Analg
3598,NCT02511054,Analg
5650,NCT04251208,Analg
9176,NCT04427202,Analg
2536,NCT00010816,Analg
5457,NCT01937468,Analg
5450,NCT02234011,Analg
8913,NCT03770780,Analg
2543,NCT01268670,Analg
5447,NCT02194088,Analg
9171,NCT04433975,Analg
8786,NCT03395314,Analg
2479,NCT02941809,Analg
2467,NCT03426137,Analg
2466,NCT00186862,Analg
5647,NCT02442739,Analg
5645,NCT02655458,Analg
2393,NCT02219321,Analg
8485,NCT03933345,Analg
2406,NCT00000455,Analg
49,NCT02773979,Analg
5635,NCT00823381,Analg
8906,NCT02564341,Analg
8489,NCT02219906,Analg
2425,NCT01330810,Analg
5605,NCT02759185,Analg
2432,NCT04122378,Analg
5597,NCT03071744,Analg
2442,NCT00004727,Analg
8496,NCT02508935,Analg
2454,NCT03333109,Analg
5571,NCT02360007,Analg
4157,NCT00005007,Analg
5901,NCT02807623,Analg
5433,NCT01480167,Analg
9358,NCT04263831,Analg
6412,NCT03783702,Analg
9374,NCT04253782,Analg
3709,NCT00762060,Analg
6384,NCT04180020,Analg
6377,NCT01523080,Analg
8310,NCT03482440,Analg
3706,NCT02824276,Analg
6366,NCT00458510,Analg
1799,NCT00995410,Analg
1718,NCT00218127,Analg
9357,NCT04264897,Analg
1805,NCT00591448,Analg
6348,NCT04603911,Analg
1809,NCT03570320,Analg
6339,NCT03831321,Analg
8325,NCT00760474,Analg
9348,NCT04273282,Analg
6308,NCT04225598,Analg
4087,NCT00472303,Analg
6441,NCT02897414,Analg
2184,NCT03606460,Analg
6524,NCT01969903,Analg
8269,NCT04117022,Analg
6562,NCT04562779,Analg
6558,NCT00424294,Analg
9970,NCT03782506,Analg
6543,NCT01987908,Analg
6541,NCT01420016,Analg
1620,NCT01725087,Analg
9401,NCT04233671,Analg
6522,NCT04032158,Analg
6455,NCT04219540,Analg
4079,NCT00837434,Analg
1642,NCT01640171,Analg
6513,NCT01205178,Analg
6508,NCT04419948,Analg
8283,NCT00783172,Analg
1666,NCT02239627,Analg
6472,NCT00000152,Analg
1695,NCT00833963,Analg
6302,NCT00508586,Analg
8330,NCT00767806,Analg
3695,NCT03107468,Analg
5989,NCT04136548,Analg
4391,NCT03714711,Analg
6062,NCT02187198,Analg
6045,NCT02679560,Analg
3670,NCT00232115,Analg
6039,NCT02935621,Analg
3669,NCT01951417,Analg
6010,NCT03621085,Analg
5996,NCT03900845,Analg
7921,NCT03932799,Analg
6265,NCT01290601,Analg
4148,NCT03055858,Analg
4149,NCT04477304,Analg
9282,NCT04330183,Analg
5942,NCT03725332,Analg
2151,NCT04258397,Analg
2159,NCT01140724,Analg
8420,NCT02944578,Analg
3656,NCT01668667,Analg
2033,NCT01511640,Analg
6088,NCT01673594,Analg
7976,NCT00880191,Analg
8358,NCT00007527,Analg
6249,NCT04302766,Analg
3693,NCT03218787,Analg
1917,NCT03385057,Analg
8336,NCT04205539,Analg
6200,NCT02666742,Analg
9975,NCT03779997,Analg
1968,NCT03009019,Analg
9323,NCT04295135,Analg
1973,NCT03006276,Analg
1979,NCT04571697,Analg
6167,NCT00527982,Analg
6149,NCT00749203,Analg
6148,NCT00760708,Analg
2002,NCT01705288,Analg
6137,NCT00911248,Analg
2012,NCT01903291,Analg
2018,NCT01011634,Analg
8526,NCT00587496,Analg
2559,NCT00729690,Analg
6595,NCT01533155,Analg
4343,NCT03309163,Analg
8928,NCT00555425,Analg
3086,NCT02153814,Analg
9038,NCT04560673,Analg
4775,NCT02650154,Analg
4768,NCT01622959,Analg
4764,NCT01843751,Analg
3117,NCT02241824,Analg
4740,NCT01766960,Analg
3136,NCT02922985,Analg
4816,NCT03794882,Analg
3145,NCT00308620,Analg
4722,NCT02094898,Analg
4672,NCT00486811,Analg
4670,NCT01332500,Analg
8699,NCT02746263,Analg
7951,NCT00531817,Analg
8756,NCT02487485,Analg
4653,NCT01786109,Analg
4810,NCT04499495,Analg
4823,NCT02485145,Analg
4961,NCT03106363,Analg
2987,NCT04417361,Analg
2962,NCT00463060,Analg
4937,NCT04271462,Analg
2963,NCT00758628,Analg
4931,NCT04158830,Analg
2976,NCT01874964,Analg
4925,NCT01846182,Analg
8766,NCT04034004,Analg
2978,NCT03801863,Analg
9062,NCT04539821,Analg
4824,NCT03290963,Analg
4906,NCT00940784,Analg
4903,NCT02443220,Analg
4900,NCT03305497,Analg
3042,NCT00208026,Analg
3043,NCT02240407,Analg
3048,NCT00986648,Analg
4328,NCT03172741,Analg
4825,NCT04588727,Analg
4640,NCT01511939,Analg
3222,NCT01775865,Analg
3485,NCT02880540,Analg
8752,NCT02819141,Analg
4519,NCT04247646,Analg
8729,NCT04542642,Analg
8732,NCT00896701,Analg
3457,NCT03282669,Analg
3367,NCT00811057,Analg
4487,NCT03352479,Analg
4483,NCT03054103,Analg
4472,NCT04211077,Analg
3391,NCT04070573,Analg
3228,NCT03670914,Analg
8955,NCT02290223,Analg
3401,NCT00646451,Analg
7972,NCT00087399,Analg
3411,NCT03187080,Analg
4386,NCT03185871,Analg
3428,NCT01852955,Analg
8744,NCT01566890,Analg
3435,NCT04377204,Analg
8961,NCT03718104,Analg
4523,NCT03897764,Analg
4524,NCT00299065,Analg
7956,NCT01099449,Analg
4631,NCT01700517,Analg
4359,NCT00697151,Analg
3482,NCT01636999,Analg
4626,NCT03709888,Analg
4361,NCT00522041,Analg
3253,NCT03671746,Analg
4593,NCT02657317,Analg
3271,NCT00796705,Analg
8718,NCT00058045,Analg
32,NCT03924505,Analg
3299,NCT03889418,Analg
8973,NCT02422485,Analg
8719,NCT00006264,Analg
3310,NCT01391858,Analg
3328,NCT01714102,Analg
3330,NCT01027611,Analg
8935,NCT03635905,Analg
2954,NCT03408483,Analg
2929,NCT01127490,Analg
5431,NCT02641353,Analg
5289,NCT04171921,Analg
5322,NCT03152409,Analg
8916,NCT03771586,Analg
9143,NCT04467723,Analg
9142,NCT04469530,Analg
4253,NCT00576693,Analg
8554,NCT00268242,Analg
5292,NCT01655043,Analg
2673,NCT00808210,Analg
5286,NCT03495388,Analg
2645,NCT01228214,Analg
5283,NCT03161795,Analg
5276,NCT00124358,Analg
2692,NCT02443142,Analg
5267,NCT02990377,Analg
5263,NCT04555239,Analg
2699,NCT00706576,Analg
5260,NCT02796352,Analg
5244,NCT01156701,Analg
2650,NCT03219177,Analg
5328,NCT01038323,Analg
4977,NCT01270113,Analg
3882,NCT02820519,Analg
3587,NCT00486902,Analg
5430,NCT01442493,Analg
2569,NCT02787928,Analg
2570,NCT01598896,Analg
5417,NCT03431831,Analg
2572,NCT00135720,Analg
5384,NCT02152397,Analg
2608,NCT00352651,Analg
5375,NCT02771925,Analg
