,NCTId,ConditionBrowseLeafId
4022,NCT00819169,T5296
7946,NCT01376349,T5296
7603,NCT01287104,T5296
9045,NCT04554914,T5296
7728,NCT03916796,T5296
6559,NCT00339937,T5296
7172,NCT03433183,T5296
1409,NCT00068367,T5296
2907,NCT00123786,T5296
5191,NCT01616537,T5296
9049,NCT04551430,T5296
3560,NCT01117168,T5296
3561,NCT03251989,T5296
6666,NCT01861951,T5296
5683,NCT00923936,T5296
9343,NCT04278781,T5296
8176,NCT01814501,T5296
9637,NCT04033081,T5296
5480,NCT00837148,T5296
9575,NCT04079179,T5296
8793,NCT01992341,T5296
7979,NCT00217620,T5296
9074,NCT04526509,T5296
9624,NCT04040205,T5296
8495,NCT01236586,T5296
5224,NCT04047251,T5296
4597,NCT03655587,T5296
9804,NCT03899805,T5296
9300,NCT04315883,T5296
10,NCT00026728,T5296
4181,NCT04200443,T5296
9803,NCT03900793,T5296
6107,NCT01433302,T5296
3983,NCT01956669,T5296
8980,NCT04607200,T5296
3176,NCT00087997,T5296
7596,NCT01661283,T5296
6257,NCT02080767,T5287
3274,NCT00079820,T5287
1668,NCT01913353,T5287
2143,NCT00026611,T5287
2984,NCT00001043,T5287
7313,NCT00437021,T5287
3648,NCT00053742,T5287
7799,NCT04060342,T5283
8669,NCT01505868,T5283
4332,NCT01587703,T5283
6196,NCT01076504,T5283
8704,NCT02963090,T5283
6658,NCT01574300,T5283
9047,NCT04553133,T5283
8832,NCT03995667,T5283
2352,NCT00856830,T5283
8721,NCT00004930,T5283
8897,NCT01797159,T5283
7944,NCT00365105,T5283
7497,NCT04471974,T5283
5224,NCT04047251,T5283
7963,NCT00874211,T5283
8859,NCT01045421,T5283
6792,NCT00178698,T5283
1959,NCT02748889,T5283
5634,NCT00958022,T5283
3461,NCT01586767,T5261
3455,NCT01284127,T5246
3820,NCT00481143,T5244
2837,NCT02222246,T5241
3890,NCT03789591,T5241
9014,NCT04579926,T5241
4766,NCT02972138,T5241
3239,NCT03037021,T5241
9282,NCT04330183,T5241
2444,NCT02411396,T5241
5525,NCT01443728,T5241
4615,NCT02501447,T5241
4403,NCT00360087,T5241
2432,NCT04122378,T5241
1708,NCT04417673,T5241
8018,NCT04075877,T5241
2501,NCT03012555,T5241
8744,NCT01566890,T5241
6543,NCT01987908,T5241
8661,NCT03629678,T5241
8487,NCT00590148,T5241
7468,NCT03964792,T5241
3584,NCT01506544,T5241
1674,NCT03621826,T5241
2612,NCT02698761,T5241
3504,NCT02989701,T5241
132,NCT03488264,T5241
5168,NCT02787486,T5232
8099,NCT00876226,T5217
8985,NCT04604275,T5217
6804,NCT02113228,T5217
4464,NCT00082069,T5216
6699,NCT02816346,T5216
1570,NCT00485134,T5216
6267,NCT01080716,T5216
4432,NCT02445963,T5216
7913,NCT00719563,T5211
7604,NCT03357224,T5211
7878,NCT03563040,T5211
2086,NCT04371419,T5197
9263,NCT04342728,T5197
9284,NCT04328467,T5197
9054,NCT04546581,T5197
2061,NCT04326036,T5197
5165,NCT04536350,T5197
9230,NCT04374565,T5197
8652,NCT04305457,T5197
3743,NCT04461353,T5197
9180,NCT04424446,T5197
9146,NCT04466098,T5197
2607,NCT04388605,T5197
4186,NCT04357730,T5197
8237,NCT04363450,T5197
6249,NCT04302766,T5197
9186,NCT04415073,T5197
6247,NCT04360486,T5197
9015,NCT04579393,T5197
