,NCTId,InterventionMeshId
7856,NCT02386098,D000069446
4227,NCT04132557,D000069445
5294,NCT03808740,D000069445
1292,NCT00219323,D000069444
6396,NCT02658877,D000069444
4786,NCT02023151,D000069444
9007,NCT04583501,D000069444
5560,NCT01157117,D000069444
3964,NCT00866788,D000069444
3068,NCT03679676,D000069444
6352,NCT02626611,D000069444
5336,NCT02879006,D000069444
3909,NCT00384397,D000069443
1713,NCT03642847,D000069443
6376,NCT02133469,D000069443
1185,NCT00761631,D000069443
1212,NCT00373958,D000069443
2198,NCT02079701,D000069443
1199,NCT00444457,D000069443
7558,NCT03207750,D000069443
2218,NCT01702428,D000069443
9942,NCT03802994,D000069443
8492,NCT01245673,D000069443
7825,NCT00744679,D000069442
4772,NCT00624585,D000069439
4787,NCT00858403,D000069439
1400,NCT00652574,D000069439
8655,NCT00882583,D000069439
8416,NCT02874989,D000069439
5245,NCT02534376,D000069438
4505,NCT00202878,D000069438
7862,NCT03828201,D000069349
2034,NCT00954681,D000069348
1944,NCT00277667,D000069348
8547,NCT01588457,D000069348
1409,NCT00068367,D000069347
3340,NCT00988169,D000069347
4737,NCT01859026,D000069347
4732,NCT01556191,D000069347
3926,NCT00453362,D000069347
6171,NCT00410059,D000069347
6170,NCT00411632,D000069347
4477,NCT00716456,D000069347
6788,NCT00563784,D000069347
6202,NCT00036647,D000069347
8654,NCT01222689,D000069347
2217,NCT01592383,D000069347
4003,NCT04220203,D000069287
8165,NCT00320749,D000069287
5291,NCT03050814,D000069287
8455,NCT00496366,D000069287
1519,NCT00183898,D000069287
6914,NCT04606342,D000069287
1449,NCT00642603,D000069287
6605,NCT00795678,D000069287
2506,NCT01349088,D000069287
7583,NCT00235235,D000069287
6184,NCT00083525,D000069287
5614,NCT01591733,D000069287
1521,NCT00159445,D000069287
1522,NCT00159432,D000069287
6594,NCT01326481,D000069287
8631,NCT00151047,D000069287
8627,NCT01007552,D000069287
6880,NCT01498458,D000069287
2311,NCT04357587,D000069287
5958,NCT00183833,D000069287
1524,NCT00159471,D000069287
3281,NCT00411762,D000069287
2561,NCT00891033,D000069286
8149,NCT00017199,D000069286
5864,NCT00664898,D000069286
2242,NCT01063179,D000069286
8532,NCT01439750,D000069286
4270,NCT02188368,D000069286
5876,NCT02139397,D000069286
5764,NCT00923247,D000069286
3955,NCT02720510,D000069286
7981,NCT00124579,D000069286
3710,NCT00312845,D000069286
4929,NCT00422799,D000069286
7942,NCT00040885,D000069285
9315,NCT04305145,D000069285
2683,NCT03004443,D000069285
81,NCT03801928,D000069285
1060,NCT01844804,D000069285
2673,NCT00808210,D000069285
3142,NCT04131504,D000069285
9044,NCT04555811,D000069283
8152,NCT01812005,D000069283
9778,NCT03919175,D000069283
3710,NCT00312845,D000069283
3043,NCT02240407,D000069283
5467,NCT00244361,D000069283
6491,NCT01697267,D000069283
3846,NCT00078598,D000069283
7142,NCT01046825,D000069283
9182,NCT04421560,D000069283
1906,NCT01813227,D000069283
6212,NCT02481310,D000069283
4929,NCT00422799,D000069283
2463,NCT03742258,D000069283
3776,NCT00087529,D000069283
9713,NCT03976102,D000069283
2574,NCT00758693,D000069283
8532,NCT01439750,D000069283
3839,NCT01234766,D000069283
6004,NCT03763643,D000069283
8638,NCT00619671,D000069283
4097,NCT01889797,D000069283
6667,NCT02792699,D000069283
5346,NCT00396812,D000069283
4169,NCT03180723,D000069283
8674,NCT00764517,D000069283
7591,NCT03844061,D000069283
8189,NCT01996865,D000069283
9901,NCT03829566,D000069283
5148,NCT00183989,D000069283
7929,NCT00075946,D000069283
9099,NCT04502706,D000069283
8726,NCT00098670,D000069283
8178,NCT02049541,D000069283
3087,NCT01665677,D000069059
5816,NCT02496962,D000069059
3118,NCT01785615,D000069059
6815,NCT01770210,D000069059
2064,NCT02056340,D000069059
6834,NCT03417388,D000069059
2730,NCT01013870,D000069059
2446,NCT00115830,D000069059
2967,NCT00322257,D000069057
1716,NCT00873223,D000069057
3476,NCT01831765,D000069057
1651,NCT01043510,D000069057
2928,NCT00106366,D000069057
7848,NCT02131272,D000069057
2935,NCT00283751,D000069057
3632,NCT00978627,D000069057
2823,NCT00095082,D000069057
8739,NCT02496780,D000069057
1731,NCT01497600,D000069057
2822,NCT00097084,D000069057
2661,NCT00537303,D000069057
3079,NCT00909480,D000069057
2820,NCT00104182,D000069057
1757,NCT00264901,D000069057
2713,NCT00634842,D000069057
2544,NCT01513473,D000069057
