NCTId,ArmGroupInterventionName
NCT03351088,Procedure
NCT03351088,Procedure
NCT01841957,Procedure
NCT03066999,Procedure
NCT04532788,Procedure
NCT03387553,Procedure
NCT03387553,Procedure
NCT03387553,Procedure
NCT04090775,Procedure
NCT01502592,Procedure
NCT01502592,Procedure
NCT04221594,Procedure
NCT04024878,Procedure
NCT00537173,Procedure
NCT03594292,Procedure
NCT04037852,Procedure
NCT00647569,Procedure
NCT00647569,Procedure
NCT03881020,Procedure
NCT02794116,Procedure
NCT01581905,Procedure
NCT01967680,Procedure
NCT03951064,Procedure
NCT03951064,Procedure
NCT04306705,Procedure
NCT02725840,Procedure
NCT02725840,Procedure
NCT03778294,Procedure
NCT04307420,Procedure
NCT04030117,Procedure
NCT01131312,Procedure
NCT03908879,Procedure
NCT00613873,Procedure
NCT00032344,Procedure
NCT01239082,Procedure
NCT00883792,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00675714,Procedure
NCT00119574,Procedure
NCT02354287,Procedure
NCT02723825,Procedure
NCT02723825,Procedure
NCT01589692,Procedure
NCT01147120,Procedure
NCT03137953,Procedure
NCT01996384,Procedure
NCT03619369,Procedure
NCT03619369,Procedure
NCT03619369,Procedure
NCT03780985,Procedure
NCT03780985,Procedure
NCT02746900,Procedure
NCT04238143,Procedure
NCT04238143,Procedure
NCT02848781,Procedure
NCT02848781,Procedure
NCT03947216,Procedure
NCT03947216,Procedure
NCT03823911,Procedure
NCT03823911,Procedure
NCT03823911,Procedure
NCT02435459,Procedure
NCT00963807,Procedure
NCT04191473,Procedure
NCT01205776,Procedure
NCT00384241,Procedure
NCT00331058,Procedure
NCT03881098,Procedure
NCT02075151,Procedure
NCT01023477,Procedure
NCT01023477,Procedure
NCT04474405,Procedure
NCT04474405,Procedure
NCT04474405,Procedure
NCT03269721,Procedure
NCT04474405,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT00734357,Procedure
NCT00734357,Procedure
NCT01013636,Procedure
NCT03956056,Procedure
NCT03904043,Procedure
NCT02446626,Procedure
NCT02446626,Procedure
NCT02446626,Procedure
NCT02446626,Procedure
NCT02446626,Procedure
NCT03947216,Procedure
NCT03947216,Procedure
NCT01334281,Procedure
NCT01334281,Procedure
NCT01613833,Procedure
NCT01613833,Procedure
NCT00537173,Procedure
NCT01264471,Procedure
NCT01801670,Procedure
NCT03775590,Procedure
NCT03937531,Procedure
NCT03937531,Procedure
NCT00136370,Procedure
NCT01427673,Procedure
NCT01427673,Procedure
NCT03503097,Procedure
NCT04513990,Procedure
NCT04494945,Procedure
NCT04410302,Procedure
NCT04162678,Procedure
NCT04456140,Procedure
NCT02140021,Procedure
NCT03765593,Procedure
NCT03765593,Procedure
NCT03765593,Procedure
NCT03765593,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT00235235,Procedure
NCT01801670,Procedure
NCT00235235,Procedure
NCT03014037,Procedure
NCT04128995,Procedure
NCT02148068,Procedure
NCT02148068,Procedure
NCT03219359,Procedure
NCT03003728,Procedure
NCT02331368,Procedure
NCT04483206,Procedure
NCT01119326,Procedure
NCT01119326,Procedure
NCT00775788,Procedure
NCT00775788,Procedure
NCT00775788,Procedure
NCT00775788,Procedure
NCT00775788,Procedure
NCT00775788,Procedure
NCT03005054,Procedure
NCT02540512,Procedure
NCT02540512,Procedure
NCT01790477,Procedure
NCT01338701,Procedure
NCT02120560,Procedure
NCT02120560,Procedure
NCT03756025,Procedure
NCT03756025,Procedure
NCT02591381,Procedure
NCT02591381,Procedure
NCT02463968,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT00523224,Procedure
NCT02317250,Procedure
NCT02317250,Procedure
NCT02317250,Procedure
NCT02317250,Procedure
