,NCTId,InterventionAncestorId
5398,NCT00814502,D000068776
3964,NCT00866788,D000068776
2052,NCT03999099,D000068776
2783,NCT01451762,D000068776
1018,NCT02098499,D000068776
1942,NCT03764683,D000068776
4175,NCT02655354,D000068776
5609,NCT03786120,D000068776
6972,NCT00735670,D000068760
8180,NCT00414323,D000068760
6988,NCT00205491,D000068760
5328,NCT01038323,D000068760
7949,NCT00489411,D000068760
8911,NCT00248612,D000068760
1075,NCT00618956,D000068760
3931,NCT00507936,D000068760
4175,NCT02655354,D000068760
8103,NCT01537068,D000068760
4222,NCT01074151,D000068760
9463,NCT04178993,D000068760
9038,NCT04560673,D000068760
2509,NCT01329406,D000068760
8240,NCT01658228,D000068760
5271,NCT01609348,D000068760
2929,NCT01127490,D000068760
8330,NCT00767806,D000068760
4925,NCT01846182,D000068760
9965,NCT03787680,D000067856
8989,NCT04598321,D000067856
6683,NCT02987543,D000067856
9742,NCT03945721,D000067856
2613,NCT03432897,D000067856
6822,NCT03459846,D000067856
7610,NCT02032277,D000067856
8302,NCT01017640,D000067856
3403,NCT00678132,D000067856
8623,NCT04313504,D000067856
9723,NCT03964532,D000067856
3425,NCT03329001,D000067856
2994,NCT03061188,D000067856
9497,NCT04134884,D000067856
6984,NCT00233090,D000065701
2142,NCT00258479,D000065701
2968,NCT00266058,D000065701
4084,NCT00000641,D000065701
7479,NCT02169882,D000065701
1216,NCT03893032,D000065701
6974,NCT00621751,D000065701
4225,NCT03474029,D000065701
7974,NCT01641809,D000065701
1139,NCT00154323,D000065701
4694,NCT00816426,D000065701
8164,NCT00482963,D000065701
4480,NCT03602118,D000065701
3368,NCT00112047,D000065701
6620,NCT00342355,D000065701
8852,NCT03723395,D000065701
1908,NCT00118898,D000065701
8394,NCT00002381,D000065701
2448,NCT00734344,D000065701
4160,NCT00100581,D000065701
3679,NCT00084136,D000065701
1156,NCT00154362,D000065701
7441,NCT02832778,D000065701
7533,NCT00702637,D000065701
4012,NCT01390909,D000065701
2635,NCT00924898,D000065701
4694,NCT00816426,D000065698
7479,NCT02169882,D000065698
8852,NCT03723395,D000065698
4225,NCT03474029,D000065698
4084,NCT00000641,D000065698
7479,NCT02169882,D000065697
4084,NCT00000641,D000065697
8852,NCT03723395,D000065697
4225,NCT03474029,D000065697
4694,NCT00816426,D000065697
4225,NCT03474029,D000065696
7479,NCT02169882,D000065696
8852,NCT03723395,D000065696
4084,NCT00000641,D000065696
4694,NCT00816426,D000065696
6620,NCT00342355,D000065695
7441,NCT02832778,D000065695
2635,NCT00924898,D000065695
2968,NCT00266058,D000065695
4694,NCT00816426,D000065695
7479,NCT02169882,D000065695
2448,NCT00734344,D000065695
4084,NCT00000641,D000065695
3679,NCT00084136,D000065695
4160,NCT00100581,D000065695
3368,NCT00112047,D000065695
4225,NCT03474029,D000065695
7974,NCT01641809,D000065695
8164,NCT00482963,D000065695
8852,NCT03723395,D000065695
1908,NCT00118898,D000065695
4480,NCT03602118,D000065695
3229,NCT00395304,D000065694
4273,NCT02889809,D000065694
4638,NCT02410278,D000065694
7179,NCT00162461,D000065694
1774,NCT01329939,D000065694
5471,NCT02635334,D000065694
4012,NCT01390909,D000065693
