,NCTId,BaselineMeasureDispersionType
7027,NCT01500434,Standard Deviation
7040,NCT01884545,Standard Deviation
7040,NCT01884545,Standard Deviation
3729,NCT02191137,Standard Deviation
7066,NCT00633009,Standard Deviation
3729,NCT02191137,Standard Deviation
3729,NCT02191137,Standard Deviation
3729,NCT02191137,Standard Deviation
3731,NCT01786993,Standard Deviation
3731,NCT01786993,Standard Deviation
3736,NCT02391948,Standard Deviation
7081,NCT00367770,Standard Deviation
7079,NCT00955201,Standard Deviation
7072,NCT01199380,Standard Deviation
7071,NCT01912287,Standard Deviation
7069,NCT00393874,Standard Deviation
3765,NCT01338506,Standard Deviation
7040,NCT01884545,Standard Deviation
7060,NCT01121250,Standard Deviation
3773,NCT00454779,Standard Deviation
3776,NCT00087529,Standard Deviation
3777,NCT00486018,Standard Deviation
3778,NCT00485836,Standard Deviation
3780,NCT00094055,Standard Deviation
7041,NCT01294150,Standard Deviation
7040,NCT01884545,Standard Deviation
7040,NCT01884545,Standard Deviation
7040,NCT01884545,Standard Deviation
7040,NCT01884545,Standard Deviation
6895,NCT01257581,Standard Deviation
6895,NCT01257581,Standard Deviation
6571,NCT02049151,Standard Deviation
4253,NCT00576693,Standard Deviation
4283,NCT00726661,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6719,NCT01087736,Standard Deviation
6714,NCT01391832,Standard Deviation
6710,NCT01632709,Standard Deviation
6709,NCT01672658,Standard Deviation
4309,NCT01897896,Standard Deviation
6699,NCT02816346,Standard Deviation
6697,NCT03305055,Standard Deviation
4329,NCT00683085,Standard Deviation
4332,NCT01587703,Standard Deviation
6683,NCT02987543,Standard Deviation
6677,NCT01911390,Standard Deviation
4348,NCT02192684,Standard Deviation
4348,NCT02192684,Standard Deviation
4348,NCT02192684,Standard Deviation
6667,NCT02792699,Standard Deviation
6667,NCT02792699,Standard Deviation
4280,NCT00422448,Standard Deviation
6728,NCT00310791,Standard Deviation
4274,NCT00358917,Standard Deviation
4254,NCT01190254,Standard Deviation
4253,NCT00576693,Standard Deviation
4253,NCT00576693,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4274,NCT00358917,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
4254,NCT01190254,Standard Deviation
6745,NCT01233609,Standard Deviation
4263,NCT01401842,Standard Deviation
4263,NCT01401842,Standard Deviation
4263,NCT01401842,Standard Deviation
4263,NCT01401842,Standard Deviation
4265,NCT02685826,Standard Deviation
4274,NCT00358917,Standard Deviation
6667,NCT02792699,Standard Deviation
4361,NCT00522041,Standard Deviation
4369,NCT02230566,Standard Deviation
6581,NCT01684748,Standard Deviation
4458,NCT00292942,Standard Deviation
4458,NCT00292942,Standard Deviation
4460,NCT00248833,Standard Deviation
6583,NCT03905642,Standard Deviation
6583,NCT03905642,Standard Deviation
6583,NCT03905642,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
4458,NCT00292942,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
6581,NCT01684748,Standard Deviation
4483,NCT03054103,Standard Deviation
6576,NCT00689221,Standard Deviation
6575,NCT02083679,Standard Deviation
6574,NCT00777296,Standard Deviation
6572,NCT00813943,Standard Deviation
4493,NCT02037555,Standard Deviation
4458,NCT00292942,Standard Deviation
4451,NCT00884377,Standard Deviation
4387,NCT01811316,Standard Deviation
6620,NCT00342355,Standard Deviation
6644,NCT01739803,Standard Deviation
4390,NCT01296698,Standard Deviation
4392,NCT02344576,Standard Deviation
4392,NCT02344576,Standard Deviation
4392,NCT02344576,Standard Deviation
4392,NCT02344576,Standard Deviation
4395,NCT01040832,Standard Deviation
6637,NCT00254072,Standard Deviation
6635,NCT02963987,Standard Deviation
4413,NCT02551666,Standard Deviation
4413,NCT02551666,Standard Deviation
4430,NCT02930226,Standard Deviation
6596,NCT01381406,Standard Deviation
4430,NCT02930226,Standard Deviation
4430,NCT02930226,Standard Deviation
4430,NCT02930226,Standard Deviation
6608,NCT00202449,Standard Deviation
6607,NCT00290186,Standard Deviation
4437,NCT01877421,Standard Deviation
4438,NCT01846104,Standard Deviation
6604,NCT00984698,Standard Deviation
4440,NCT01666652,Standard Deviation
6600,NCT02383472,Standard Deviation
6596,NCT01381406,Standard Deviation
4253,NCT00576693,Standard Deviation
4253,NCT00576693,Standard Deviation
6895,NCT01257581,Standard Deviation
4252,NCT00321971,Standard Deviation
4062,NCT02230332,Standard Deviation
4062,NCT02230332,Standard Deviation
4062,NCT02230332,Standard Deviation
4063,NCT00180479,Standard Deviation
4065,NCT01714323,Standard Deviation
4067,NCT00761813,Standard Deviation
4077,NCT01871506,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4079,NCT00837434,Standard Deviation
4080,NCT03077438,Standard Deviation
4085,NCT00945906,Standard Deviation
4087,NCT00472303,Standard Deviation
4089,NCT02199691,Standard Deviation
6850,NCT02286921,Standard Deviation
6850,NCT02286921,Standard Deviation
6850,NCT02286921,Standard Deviation
6850,NCT02286921,Standard Deviation
4104,NCT03289676,Standard Deviation
4061,NCT00835120,Standard Deviation
4061,NCT00835120,Standard Deviation
4061,NCT00835120,Standard Deviation
4035,NCT00555217,Standard Deviation
4034,NCT00799617,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4035,NCT00555217,Standard Deviation
4037,NCT00039741,Standard Deviation
4061,NCT00835120,Standard Deviation
4037,NCT00039741,Standard Deviation
4037,NCT00039741,Standard Deviation
4039,NCT01192178,Standard Deviation
4050,NCT02914275,Standard Deviation
4050,NCT02914275,Standard Deviation
4050,NCT02914275,Standard Deviation
4060,NCT02842866,Standard Deviation
4061,NCT00835120,Standard Deviation
4061,NCT00835120,Standard Deviation
4061,NCT00835120,Standard Deviation
4061,NCT00835120,Standard Deviation
4104,NCT03289676,Standard Deviation
4107,NCT02804750,Standard Deviation
4116,NCT02236598,Standard Deviation
4196,NCT00970853,Standard Deviation
6795,NCT02238483,Standard Deviation
4187,NCT01795547,Standard Deviation
4190,NCT02564055,Standard Deviation
4194,NCT00200057,Standard Deviation
4194,NCT00200057,Standard Deviation
4194,NCT00200057,Standard Deviation
4194,NCT00200057,Standard Deviation
4194,NCT00200057,Standard Deviation
4194,NCT00200057,Standard Deviation
4194,NCT00200057,Standard Deviation
4194,NCT00200057,Standard Deviation
6781,NCT02115646,Standard Deviation
6799,NCT03063385,Standard Deviation
6781,NCT02115646,Standard Deviation
6781,NCT02115646,Standard Deviation
6781,NCT02115646,Standard Deviation
4211,NCT02322333,Standard Deviation
6781,NCT02115646,Standard Deviation
4214,NCT02316353,Standard Deviation
6778,NCT02334384,Standard Deviation
4221,NCT01190267,Standard Deviation
4234,NCT03521817,Standard Deviation
4236,NCT00332709,Standard Deviation
4243,NCT00308061,Standard Deviation
6796,NCT02445196,Standard Deviation
6799,NCT03063385,Standard Deviation
4116,NCT02236598,Standard Deviation
6799,NCT03063385,Standard Deviation
4134,NCT02961751,Standard Deviation
4140,NCT02354482,Standard Deviation
4144,NCT01110200,Standard Deviation
4145,NCT00135798,Standard Deviation
4148,NCT03055858,Standard Deviation
4151,NCT02664610,Standard Deviation
4153,NCT00974259,Standard Deviation
4153,NCT00974259,Standard Deviation
4158,NCT02842853,Standard Deviation
4159,NCT00703846,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
4180,NCT03008837,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
4172,NCT02564042,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
6799,NCT03063385,Standard Deviation
4179,NCT00959764,Standard Deviation
8508,NCT01182727,Standard Deviation
2878,NCT01676116,Standard Deviation
1065,NCT01589978,Standard Deviation
8569,NCT02247765,Standard Deviation
1475,NCT00290147,Standard Deviation
1473,NCT02140762,Standard Deviation
1616,NCT03866434,Standard Deviation
1617,NCT01847560,Standard Deviation
8955,NCT02290223,Standard Deviation
8955,NCT02290223,Standard Deviation
8955,NCT02290223,Standard Deviation
1467,NCT01093885,Standard Deviation
1467,NCT01093885,Standard Deviation
1464,NCT00805948,Standard Deviation
131,NCT02939131,Standard Deviation
131,NCT02939131,Standard Deviation
1461,NCT02009930,Standard Deviation
8566,NCT02187055,Standard Deviation
1628,NCT00722124,Standard Deviation
1628,NCT00722124,Standard Deviation
1460,NCT02984943,Standard Deviation
8564,NCT02835495,Standard Deviation
8564,NCT02835495,Standard Deviation
8564,NCT02835495,Standard Deviation
8564,NCT02835495,Standard Deviation
131,NCT02939131,Standard Deviation
1612,NCT00715026,Standard Deviation
1476,NCT02285777,Standard Deviation
1091,NCT02817841,Standard Deviation
1609,NCT03293654,Standard Deviation
8825,NCT02899988,Standard Deviation
8676,NCT01515475,Standard Deviation
8676,NCT01515475,Standard Deviation
8676,NCT01515475,Standard Deviation
8581,NCT00266864,Standard Deviation
8676,NCT01515475,Standard Deviation
1491,NCT02223065,Standard Deviation
8581,NCT00266864,Standard Deviation
8676,NCT01515475,Standard Deviation
131,NCT02939131,Standard Deviation
8676,NCT01515475,Standard Deviation
8676,NCT01515475,Standard Deviation
1486,NCT02424383,Standard Deviation
8820,NCT01330420,Standard Deviation
1479,NCT01858428,Standard Deviation
1479,NCT01858428,Standard Deviation
1609,NCT03293654,Standard Deviation
131,NCT02939131,Standard Deviation
131,NCT02939131,Standard Deviation
1609,NCT03293654,Standard Deviation
1091,NCT02817841,Standard Deviation
131,NCT02939131,Standard Deviation
131,NCT02939131,Standard Deviation
1086,NCT00936715,Standard Deviation
8812,NCT01265953,Standard Deviation
1023,NCT02755831,Standard Deviation
1023,NCT02755831,Standard Deviation
8814,NCT01932242,Standard Deviation
1641,NCT00585104,Standard Deviation
1641,NCT00585104,Standard Deviation
1642,NCT01640171,Standard Deviation
1179,NCT01769456,Standard Deviation
1649,NCT02556112,Standard Deviation
1649,NCT02556112,Standard Deviation
1574,NCT01557868,Standard Deviation
1649,NCT02556112,Standard Deviation
131,NCT02939131,Standard Deviation
1650,NCT01329679,Standard Deviation
8812,NCT01265953,Standard Deviation
8811,NCT02696291,Standard Deviation
1449,NCT00642603,Standard Deviation
8552,NCT01710358,Standard Deviation
8552,NCT01710358,Standard Deviation
8552,NCT01710358,Standard Deviation
8811,NCT02696291,Standard Deviation
1019,NCT01317667,Standard Deviation
8552,NCT01710358,Standard Deviation
136,NCT01568424,Standard Deviation
135,NCT01369030,Standard Deviation
1179,NCT01769456,Standard Deviation
8814,NCT01932242,Standard Deviation
131,NCT02939131,Standard Deviation
1268,NCT00328926,Standard Deviation
1456,NCT03400475,Standard Deviation
1455,NCT01342029,Standard Deviation
8814,NCT01932242,Standard Deviation
1452,NCT00997503,Standard Deviation
1452,NCT00997503,Standard Deviation
1452,NCT00997503,Standard Deviation
8893,NCT01664624,Standard Deviation
1452,NCT00997503,Standard Deviation
1452,NCT00997503,Standard Deviation
1452,NCT00997503,Standard Deviation
1452,NCT00997503,Standard Deviation
8814,NCT01932242,Standard Deviation
1637,NCT03334175,Standard Deviation
1452,NCT00997503,Standard Deviation
1637,NCT03334175,Standard Deviation
1637,NCT03334175,Standard Deviation
1638,NCT03338803,Standard Deviation
1452,NCT00997503,Standard Deviation
1179,NCT01769456,Standard Deviation
127,NCT01256164,Standard Deviation
68,NCT01154296,Standard Deviation
1017,NCT02200055,Standard Deviation
1065,NCT01589978,Standard Deviation
1553,NCT02228967,Standard Deviation
9932,NCT03807739,Standard Deviation
8858,NCT02206607,Standard Deviation
8975,NCT01721044,Standard Deviation
9932,NCT03807739,Standard Deviation
8627,NCT01007552,Standard Deviation
9423,NCT04218799,Standard Deviation
8975,NCT01721044,Standard Deviation
1066,NCT03975790,Standard Deviation
1065,NCT01589978,Standard Deviation
8851,NCT01835223,Standard Deviation
9731,NCT03961308,Standard Deviation
9932,NCT03807739,Standard Deviation
9932,NCT03807739,Standard Deviation
8634,NCT02019667,Standard Deviation
8635,NCT00833898,Standard Deviation
107,NCT00351741,Standard Deviation
8850,NCT01435603,Standard Deviation
1080,NCT01411839,Standard Deviation
1080,NCT01411839,Standard Deviation
8848,NCT01033942,Standard Deviation
8975,NCT01721044,Standard Deviation
1553,NCT02228967,Standard Deviation
8975,NCT01721044,Standard Deviation
99,NCT02746809,Standard Deviation
1553,NCT02228967,Standard Deviation
1568,NCT02209259,Standard Deviation
8612,NCT01502761,Standard Deviation
8613,NCT01312181,Standard Deviation
8614,NCT00253448,Standard Deviation
8871,NCT01137006,Standard Deviation
1075,NCT00618956,Standard Deviation
1562,NCT02016482,Standard Deviation
1561,NCT01949844,Standard Deviation
8868,NCT02679729,Standard Deviation
1212,NCT00373958,Standard Deviation
1213,NCT03310580,Standard Deviation
8866,NCT01104701,Standard Deviation
1073,NCT01306968,Standard Deviation
1073,NCT01306968,Standard Deviation
1080,NCT01411839,Standard Deviation
83,NCT02128542,Standard Deviation
83,NCT02128542,Standard Deviation
8876,NCT02085473,Standard Deviation
95,NCT02207569,Standard Deviation
8622,NCT03616171,Standard Deviation
1553,NCT02228967,Standard Deviation
8640,NCT00766051,Standard Deviation
9731,NCT03961308,Standard Deviation
1498,NCT01494350,Standard Deviation
1599,NCT00116428,Standard Deviation
1241,NCT00558701,Standard Deviation
1084,NCT01720277,Standard Deviation
8591,NCT00490945,Standard Deviation
1084,NCT01720277,Standard Deviation
68,NCT01154296,Standard Deviation
68,NCT01154296,Standard Deviation
8663,NCT00939055,Standard Deviation
8835,NCT00624520,Standard Deviation
68,NCT01154296,Standard Deviation
1599,NCT00116428,Standard Deviation
8587,NCT01800318,Standard Deviation
8595,NCT02079766,Standard Deviation
1053,NCT02420041,Standard Deviation
1501,NCT01148563,Standard Deviation
1498,NCT01494350,Standard Deviation
1084,NCT01720277,Standard Deviation
1084,NCT01720277,Standard Deviation
1084,NCT01720277,Standard Deviation
8963,NCT00882557,Standard Deviation
1603,NCT02963935,Standard Deviation
1603,NCT02963935,Standard Deviation
8584,NCT01481779,Standard Deviation
1190,NCT01157897,Standard Deviation
1191,NCT01498640,Standard Deviation
9900,NCT03831451,Standard Deviation
1084,NCT01720277,Standard Deviation
1080,NCT01411839,Standard Deviation
1080,NCT01411839,Standard Deviation
9731,NCT03961308,Standard Deviation
8975,NCT01721044,Standard Deviation
1062,NCT01078246,Standard Deviation
112,NCT00796315,Standard Deviation
9731,NCT03961308,Standard Deviation
8642,NCT03502681,Standard Deviation
1200,NCT01234103,Standard Deviation
1200,NCT01234103,Standard Deviation
1199,NCT00444457,Standard Deviation
1530,NCT00844532,Standard Deviation
116,NCT00730964,Standard Deviation
74,NCT01087905,Standard Deviation
8648,NCT01468987,Standard Deviation
73,NCT00601835,Standard Deviation
8595,NCT02079766,Standard Deviation
1196,NCT00996164,Standard Deviation
1235,NCT00723008,Standard Deviation
9738,NCT03951610,Standard Deviation
1591,NCT02287688,Standard Deviation
1283,NCT02223338,Standard Deviation
1649,NCT02556112,Standard Deviation
1109,NCT01873417,Standard Deviation
1398,NCT00412087,Standard Deviation
1397,NCT00289315,Standard Deviation
1325,NCT00662012,Standard Deviation
1325,NCT00662012,Standard Deviation
1325,NCT00662012,Standard Deviation
8777,NCT02146326,Standard Deviation
8777,NCT02146326,Standard Deviation
17,NCT03973905,Standard Deviation
16,NCT00724867,Standard Deviation
8745,NCT01394003,Standard Deviation
1154,NCT04018001,Standard Deviation
8777,NCT02146326,Standard Deviation
8749,NCT01982435,Standard Deviation
1381,NCT01240902,Standard Deviation
1381,NCT01240902,Standard Deviation
1381,NCT01240902,Standard Deviation
1381,NCT01240902,Standard Deviation
8750,NCT01090011,Standard Deviation
8530,NCT00511901,Standard Deviation
8777,NCT02146326,Standard Deviation
8777,NCT02146326,Standard Deviation
8781,NCT03199079,Standard Deviation
8777,NCT02146326,Standard Deviation
8911,NCT00248612,Standard Deviation
8795,NCT00183339,Standard Deviation
8926,NCT02470754,Standard Deviation
8926,NCT02470754,Standard Deviation
1306,NCT03693937,Standard Deviation
8926,NCT02470754,Standard Deviation
8542,NCT00981253,Standard Deviation
8926,NCT02470754,Standard Deviation
1309,NCT00263887,Standard Deviation
8926,NCT02470754,Standard Deviation
8787,NCT01457339,Standard Deviation
1312,NCT00220805,Standard Deviation
1406,NCT02601469,Standard Deviation
1312,NCT00220805,Standard Deviation
1312,NCT00220805,Standard Deviation
1406,NCT02601469,Standard Deviation
1015,NCT00689260,Standard Deviation
1315,NCT01954251,Standard Deviation
8908,NCT00323635,Standard Deviation
9814,NCT03887429,Standard Deviation
1330,NCT00490841,Standard Deviation
8777,NCT02146326,Standard Deviation
1132,NCT00291551,Standard Deviation
8759,NCT00983892,Standard Deviation
1359,NCT02867059,Standard Deviation
1359,NCT02867059,Standard Deviation
1358,NCT01857973,Standard Deviation
1337,NCT01916629,Standard Deviation
1357,NCT02979613,Standard Deviation
1357,NCT02979613,Standard Deviation
1357,NCT02979613,Standard Deviation
1357,NCT02979613,Standard Deviation
5,NCT00312663,Standard Deviation
8774,NCT01127633,Standard Deviation
4,NCT00312702,Standard Deviation
1353,NCT00673465,Standard Deviation
1353,NCT00673465,Standard Deviation
9829,NCT03878745,Standard Deviation
8911,NCT00248612,Standard Deviation
9828,NCT03878758,Standard Deviation
1351,NCT00505414,Standard Deviation
1349,NCT01992172,Standard Deviation
1348,NCT00001723,Standard Deviation
1360,NCT00191282,Standard Deviation
1336,NCT01992185,Standard Deviation
8777,NCT02146326,Standard Deviation
8919,NCT00595231,Standard Deviation
8530,NCT00511901,Standard Deviation
8530,NCT00511901,Standard Deviation
8530,NCT00511901,Standard Deviation
1376,NCT00299741,Standard Deviation
8755,NCT00903695,Standard Deviation
1373,NCT00414011,Standard Deviation
8530,NCT00511901,Standard Deviation
8755,NCT00903695,Standard Deviation
1698,NCT02742532,Standard Deviation
8755,NCT00903695,Standard Deviation
8755,NCT00903695,Standard Deviation
8911,NCT00248612,Standard Deviation
8755,NCT00903695,Standard Deviation
8755,NCT00903695,Standard Deviation
8920,NCT02165735,Standard Deviation
8777,NCT02146326,Standard Deviation
8755,NCT00903695,Standard Deviation
8756,NCT02487485,Standard Deviation
9650,NCT04020822,Standard Deviation
1422,NCT01092910,Standard Deviation
1405,NCT02496221,Standard Deviation
1132,NCT00291551,Standard Deviation
8551,NCT01711359,Standard Deviation
1006,NCT02876575,Standard Deviation
8803,NCT01921179,Standard Deviation
1121,NCT01419769,Standard Deviation
8893,NCT01664624,Standard Deviation
8893,NCT01664624,Standard Deviation
8893,NCT01664624,Standard Deviation
8893,NCT01664624,Standard Deviation
8551,NCT01711359,Standard Deviation
1121,NCT01419769,Standard Deviation
8893,NCT01664624,Standard Deviation
8803,NCT01921179,Standard Deviation
8803,NCT01921179,Standard Deviation
8550,NCT01839396,Standard Deviation
8549,NCT01721057,Standard Deviation
8549,NCT01721057,Standard Deviation
8549,NCT01721057,Standard Deviation
8549,NCT01721057,Standard Deviation
1668,NCT01913353,Standard Deviation
1423,NCT01422889,Standard Deviation
1669,NCT04047121,Standard Deviation
1669,NCT04047121,Standard Deviation
8549,NCT01721057,Standard Deviation
8930,NCT02497937,Standard Deviation
8706,NCT00482274,Standard Deviation
41,NCT02395536,Standard Deviation
8803,NCT01921179,Standard Deviation
1440,NCT02204176,Standard Deviation
9877,NCT03848403,Standard Deviation
1121,NCT01419769,Standard Deviation
8942,NCT01566461,Standard Deviation
8941,NCT01511107,Standard Deviation
1013,NCT01241513,Standard Deviation
8940,NCT01878175,Standard Deviation
8700,NCT01454284,Standard Deviation
8805,NCT01214655,Standard Deviation
1179,NCT01769456,Standard Deviation
1179,NCT01769456,Standard Deviation
1179,NCT01769456,Standard Deviation
1178,NCT01772823,Standard Deviation
1655,NCT01205776,Standard Deviation
1444,NCT00809445,Standard Deviation
8552,NCT01710358,Standard Deviation
1009,NCT00243243,Standard Deviation
8936,NCT01197911,Standard Deviation
8702,NCT00938964,Standard Deviation
8551,NCT01711359,Standard Deviation
1440,NCT02204176,Standard Deviation
1440,NCT02204176,Standard Deviation
8551,NCT01711359,Standard Deviation
1440,NCT02204176,Standard Deviation
46,NCT00875641,Standard Deviation
1440,NCT02204176,Standard Deviation
1440,NCT02204176,Standard Deviation
1287,NCT00220779,Standard Deviation
41,NCT02395536,Standard Deviation
1669,NCT04047121,Standard Deviation
1570,NCT00485134,Standard Deviation
1427,NCT00584805,Standard Deviation
1129,NCT03243305,Standard Deviation
1433,NCT01264952,Standard Deviation
1294,NCT00220740,Standard Deviation
8926,NCT02470754,Standard Deviation
154,NCT01112917,Standard Deviation
1294,NCT00220740,Standard Deviation
8802,NCT01647438,Standard Deviation
1297,NCT04067401,Standard Deviation
1129,NCT03243305,Standard Deviation
8797,NCT03158038,Standard Deviation
8926,NCT02470754,Standard Deviation
9869,NCT03851016,Standard Deviation
8926,NCT02470754,Standard Deviation
9869,NCT03851016,Standard Deviation
8928,NCT00555425,Standard Deviation
6209,NCT00851799,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
8682,NCT02352103,Inter-Quartile Range
1418,NCT01322633,Inter-Quartile Range
7927,NCT00134056,Inter-Quartile Range
8682,NCT02352103,Inter-Quartile Range
7956,NCT01099449,Inter-Quartile Range
3679,NCT00084136,Inter-Quartile Range
4405,NCT00734539,Inter-Quartile Range
3371,NCT01320150,Inter-Quartile Range
8682,NCT02352103,Inter-Quartile Range
4405,NCT00734539,Inter-Quartile Range
8682,NCT02352103,Inter-Quartile Range
6209,NCT00851799,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
7393,NCT00737893,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
6209,NCT00851799,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
8027,NCT01515072,Inter-Quartile Range
8682,NCT02352103,Inter-Quartile Range
3415,NCT01440634,Inter-Quartile Range
2837,NCT02222246,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
6661,NCT00107991,Inter-Quartile Range
8144,NCT02140775,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7147,NCT01038557,Inter-Quartile Range
4253,NCT00576693,Inter-Quartile Range
2223,NCT02179788,Inter-Quartile Range
3277,NCT02263326,Inter-Quartile Range
6661,NCT00107991,Inter-Quartile Range
4199,NCT02137512,Inter-Quartile Range
6661,NCT00107991,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
3276,NCT02118012,Inter-Quartile Range
2211,NCT02934191,Inter-Quartile Range
7245,NCT02773446,Inter-Quartile Range
4199,NCT02137512,Inter-Quartile Range
7147,NCT01038557,Inter-Quartile Range
6775,NCT03040687,Inter-Quartile Range
3277,NCT02263326,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
4432,NCT02445963,Inter-Quartile Range
6783,NCT01611935,Inter-Quartile Range
3277,NCT02263326,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
4405,NCT00734539,Inter-Quartile Range
8734,NCT02958969,Inter-Quartile Range
6661,NCT00107991,Inter-Quartile Range
6661,NCT00107991,Inter-Quartile Range
4199,NCT02137512,Inter-Quartile Range
4199,NCT02137512,Inter-Quartile Range
4199,NCT02137512,Inter-Quartile Range
7325,NCT01838863,Inter-Quartile Range
7822,NCT00094302,Inter-Quartile Range
3789,NCT01591681,Inter-Quartile Range
7526,NCT01299116,Inter-Quartile Range
3811,NCT01823341,Inter-Quartile Range
3811,NCT01823341,Inter-Quartile Range
3811,NCT01823341,Inter-Quartile Range
1774,NCT01329939,Inter-Quartile Range
2064,NCT02056340,Inter-Quartile Range
1774,NCT01329939,Inter-Quartile Range
1774,NCT01329939,Inter-Quartile Range
2064,NCT02056340,Inter-Quartile Range
4062,NCT02230332,Inter-Quartile Range
6504,NCT00840658,Inter-Quartile Range
3811,NCT01823341,Inter-Quartile Range
3811,NCT01823341,Inter-Quartile Range
3764,NCT01727895,Inter-Quartile Range
3764,NCT01727895,Inter-Quartile Range
1899,NCT03118297,Inter-Quartile Range
1899,NCT03118297,Inter-Quartile Range
4035,NCT00555217,Inter-Quartile Range
1902,NCT02579057,Inter-Quartile Range
3811,NCT01823341,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
4035,NCT00555217,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
7546,NCT02268877,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
6407,NCT00108862,Inter-Quartile Range
3146,NCT02039375,Inter-Quartile Range
6407,NCT00108862,Inter-Quartile Range
7559,NCT01605903,Inter-Quartile Range
8551,NCT01711359,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
8454,NCT01001429,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
3027,NCT00682617,Inter-Quartile Range
3027,NCT00682617,Inter-Quartile Range
2051,NCT00142792,Inter-Quartile Range
2051,NCT00142792,Inter-Quartile Range
3027,NCT00682617,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
7444,NCT02045511,Inter-Quartile Range
1908,NCT00118898,Inter-Quartile Range
1774,NCT01329939,Inter-Quartile Range
3136,NCT02922985,Inter-Quartile Range
3789,NCT01591681,Inter-Quartile Range
3927,NCT03354663,Inter-Quartile Range
1709,NCT01632995,Inter-Quartile Range
1726,NCT01198587,Inter-Quartile Range
3789,NCT01591681,Inter-Quartile Range
3789,NCT01591681,Inter-Quartile Range
3789,NCT01591681,Inter-Quartile Range
8494,NCT01264718,Inter-Quartile Range
3789,NCT01591681,Inter-Quartile Range
8494,NCT01264718,Inter-Quartile Range
3789,NCT01591681,Inter-Quartile Range
3209,NCT01719367,Inter-Quartile Range
3927,NCT03354663,Inter-Quartile Range
3927,NCT03354663,Inter-Quartile Range
8530,NCT00511901,Inter-Quartile Range
