,NCTId,BaselineMeasureDispersionType
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2747,NCT02825251,Standard Deviation
2752,NCT02916433,Standard Deviation
7745,NCT00858988,Standard Deviation
2760,NCT00405912,Standard Deviation
2760,NCT00405912,Standard Deviation
7739,NCT00470158,Standard Deviation
2770,NCT02034513,Standard Deviation
2770,NCT02034513,Standard Deviation
2770,NCT02034513,Standard Deviation
2774,NCT00612040,Standard Deviation
2774,NCT00612040,Standard Deviation
2774,NCT00612040,Standard Deviation
2778,NCT02593032,Standard Deviation
2783,NCT01451762,Standard Deviation
7713,NCT01569191,Standard Deviation
7711,NCT02843178,Standard Deviation
7707,NCT03198754,Standard Deviation
7706,NCT01746264,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2745,NCT00620750,Standard Deviation
2713,NCT00634842,Standard Deviation
2691,NCT00850135,Standard Deviation
2691,NCT00850135,Standard Deviation
2691,NCT00850135,Standard Deviation
7789,NCT02599961,Standard Deviation
7789,NCT02599961,Standard Deviation
2695,NCT01008280,Standard Deviation
2700,NCT00880256,Standard Deviation
7782,NCT03698279,Standard Deviation
2711,NCT02110381,Standard Deviation
