,NCTId,ConditionBrowseBranchAbbrev
7889,NCT02383602,Rare
7893,NCT00002305,Rare
9122,NCT04485013,Rare
1946,NCT02836418,Rare
7894,NCT00002074,Rare
4623,NCT04427995,Rare
7895,NCT00002306,Rare
4619,NCT03747783,Rare
4615,NCT02501447,Rare
1953,NCT03153202,Rare
9120,NCT04485559,Rare
7880,NCT03511443,Rare
9130,NCT04480086,Rare
1959,NCT02748889,Rare
4674,NCT03683589,Rare
4710,NCT02829918,Rare
1901,NCT02116205,Rare
4708,NCT01810731,Rare
1903,NCT00753480,Rare
4701,NCT04246528,Rare
4700,NCT02274012,Rare
1906,NCT01813227,Rare
7869,NCT01687153,Rare
4693,NCT02258256,Rare
1910,NCT01545232,Rare
4690,NCT02545010,Rare
9134,NCT04478695,Rare
4689,NCT02880527,Rare
7872,NCT04027218,Rare
4686,NCT01241383,Rare
7876,NCT03817736,Rare
4680,NCT00314899,Rare
4678,NCT00364234,Rare
7878,NCT03563040,Rare
4604,NCT00908830,Rare
7901,NCT02359097,Rare
4724,NCT03595410,Rare
4536,NCT00088543,Rare
4534,NCT00656955,Rare
7929,NCT00075946,Rare
9108,NCT04496297,Rare
4530,NCT03282916,Rare
7938,NCT00869206,Rare
9105,NCT04498520,Rare
4511,NCT03593330,Rare
2000,NCT02050113,Rare
7944,NCT00365105,Rare
2002,NCT01705288,Rare
4500,NCT00418899,Rare
7946,NCT01376349,Rare
7947,NCT01091454,Rare
7948,NCT01009918,Rare
7949,NCT00489411,Rare
4479,NCT03532958,Rare
9099,NCT04502706,Rare
4477,NCT00716456,Rare
7953,NCT00079118,Rare
4535,NCT03660917,Rare
7928,NCT02331368,Rare
4597,NCT03655587,Rare
4537,NCT03890497,Rare
1960,NCT04545333,Rare
4594,NCT01892514,Rare
4590,NCT01500538,Rare
7906,NCT03631719,Rare
4587,NCT03613623,Rare
9112,NCT04494945,Rare
1972,NCT02838368,Rare
7913,NCT00719563,Rare
1974,NCT00790803,Rare
4570,NCT04385524,Rare
1975,NCT00710619,Rare
7919,NCT02463968,Rare
7922,NCT00072046,Rare
4552,NCT00364182,Rare
1979,NCT04571697,Rare
9111,NCT04495257,Rare
1980,NCT03005639,Rare
4548,NCT03403257,Rare
7925,NCT01107626,Rare
4711,NCT01527838,Rare
9145,NCT04466644,Rare
4931,NCT04158830,Rare
4882,NCT03143049,Rare
7791,NCT02058342,Rare
1808,NCT01520038,Rare
4880,NCT01113502,Rare
4873,NCT00342524,Rare
4869,NCT03214757,Rare
1816,NCT04146545,Rare
4866,NCT04048707,Rare
7797,NCT00198822,Rare
4862,NCT01578499,Rare
4861,NCT03083431,Rare
4860,NCT00317473,Rare
7799,NCT04060342,Rare
4855,NCT04159454,Rare
1831,NCT00889616,Rare
9170,NCT04436029,Rare
4851,NCT04557345,Rare
7806,NCT00706394,Rare
1838,NCT00350337,Rare
4844,NCT02811666,Rare
9180,NCT04424446,Rare
9181,NCT04422912,Rare
1840,NCT03825783,Rare
7790,NCT01770743,Rare
7766,NCT03441867,Rare
4929,NCT00422799,Rare
9191,NCT04410302,Rare
4928,NCT02124109,Rare
7771,NCT02336048,Rare
7772,NCT02221869,Rare
4916,NCT01946867,Rare
7774,NCT00727506,Rare
9186,NCT04415073,Rare
4906,NCT00940784,Rare
7780,NCT01522768,Rare
4904,NCT03111810,Rare
4902,NCT00848523,Rare
